,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Antony,130,Ajax,23, AM(R)  ,2,180,2,1.5,46,78.3,1,1.5,0.5,8.57,1,0,0,4.5,0.5,1,4,2.5,0,0.5,2,1,0,0,0,0,0,0,0
1,Cody Gakpo,129,PSV Eindhoven,24," AM(CL),FW  ",14,1127,12,4.2,25.9,76.5,3.7,0.4,0.1,8.50,9,0,0,3.6,1.1,7,1.9,2.1,0.9,1.3,2.8,0.9,0.6,0.6,0,0.2,0.5,0.1,0
2,Dusan Tadic,130,Ajax,34," AM(CLR),FW  ",34,2971,18,4.8,44.4,76.5,3.6,1.1,0.2,7.75,11,3,0,1.4,0.4,8,0.7,1.1,0.4,2.2,2.1,0.8,0.2,0.8,0,0.4,0.2,0.1,0
3,Xavi Simons,129,PSV Eindhoven,20," AM(CLR),FW  ",34,2820,8,1.7,32.1,82.3,0.3,1.3,0.1,7.70,19,2,0,2.7,1.1,8,2.2,2.3,0.1,1.7,3.6,1.4,0.3,1.1,0,0.2,0.5,0.1,0
4,Václav Cerny,113,Twente,25, AM(R)  ,29(3),2409,11,2.4,37.1,75.3,1.2,2,0.2,7.51,13,1,1,3,0.1,8,2,0.3,0.3,0.9,2.1,1.1,0.5,0.5,0.1,0.1,1.3,0,0
5,Tobias Lauritsen,303,Sparta Rotterdam,25, FW  ,34,2965,5,0.7,21.2,54.1,0.1,0.3,0.1,7.50,12,4,0,2.6,8.4,5,0.4,1.4,0.3,0.8,1.7,0.4,0.2,0.7,0,1,0.6,0.1,0
6,Joey Veerman,129,PSV Eindhoven,24, M(CL)  ,30(3),2492,10,3.1,55,83.9,1.7,5.2,0.2,7.49,4,1,0,1.8,0.7,4,0.9,0.4,0.1,0.6,0.7,1.6,0.8,0.6,0,1,1.2,0.3,0
7,Luuk de Jong,129,PSV Eindhoven,32," AM(C),FW  ",23(1),1757,4,0.8,20.8,69,0.1,0.3,0.1,7.39,14,3,0,2.6,4.4,1,0.2,0.9,0.3,1.3,2.3,0.5,0.1,0.6,0,1,0.4,0.1,0
8,Fabian de Keijzer,128,FC Utrecht,23, GK  ,2,180,0,0,21,45.2,0,6.5,0,7.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,Mats Seuntjens,114,RKC Waalwijk,31," M(CLR),FW  ",18(1),1574,8,1.8,29.3,76.1,1.2,1.8,0.3,7.35,4,1,0,2.1,0.2,5,2.7,1.1,0.3,1.5,2.8,0.7,0.3,1.1,0,0.7,0.6,0.3,0
10,Fredrik Aursnes,256,Feyenoord,27," D(R),M(CL)  ",2,180,0,2.5,85,87.6,0.5,6.5,0.5,7.35,0,0,0,1,1.5,0,1,0,0,0,0.5,1,1,0.5,0,0,0.5,1,0
11,Edson Álvarez,130,Ajax,25," D(C),DMC  ",30(1),2589,3,0.9,77.3,88.9,0,3,0.1,7.34,3,10,0,2,3.1,2,0.6,0.5,0.1,0.7,0.8,2.3,1.2,1.1,0.2,2.4,0.9,0.4,0
12,Orkun Kökcü,256,Feyenoord,22, DMC  ,31(1),2700,2,2.8,72.5,84.6,1.7,3.7,0.2,7.34,8,6,0,2.6,0.3,3,0.9,0.8,0,1.4,1.8,1.2,0.6,0.7,0,0.5,0.9,0.2,0
13,Steven Berghuis,130,Ajax,31," AM(CR),FW  ",25(4),2105,9,1.9,52.6,83.5,1.5,3.7,0.3,7.34,9,5,0,2.6,0.5,5,0.6,0.4,0,0.9,1,1.5,0.2,0.4,0,0.2,0.6,0.1,0
14,Steven Bergwijn,130,Ajax,25," AM(CLR),FW  ",28(4),2352,5,1.5,37.4,88.7,0.3,0.6,0.1,7.31,12,0,0,2.7,0.2,3,1.2,1.1,0.3,1.3,1.5,0.9,0.2,0.4,0,0.1,0.2,0,0
15,Vangelis Pavlidis,243,AZ Alkmaar,24," AM(L),FW  ",22(3),1877,8,1.4,24.6,69.9,0,0.7,0.1,7.31,12,2,0,2.6,2.8,4,1,1.2,0.6,2.1,3.1,0.7,0.2,0.8,0,0.6,0.5,0,0
16,Noni Madueke,129,PSV Eindhoven,21," AM(R),FW  ",2(3),278,0,2.6,20.6,82.5,1.4,0.2,0,7.30,1,2,0,3.4,0.2,0,2.2,0.6,0,0.6,2.2,2.4,0,0.4,0,0,0.4,0,0
17,Oussama Tannane,116,NEC Nijmegen,29," AM(CLR),FW  ",25,2151,9,2.4,43,76.9,1.7,3,0.2,7.30,6,7,1,3.1,0.5,4,1.6,2.3,0.2,1.6,2.5,1.7,0.3,1.9,0.1,0.2,0.4,0,0
18,Mohammed Kudus,130,Ajax,22," M(CR),FW  ",19(11),1796,3,1,21.2,87.6,0.1,1.2,0,7.29,11,1,0,2.3,0.3,3,3,1.4,0.6,2.1,2,0.8,0.2,0.9,0,0.4,0.3,0,0
19,Sven Mijnans,243,AZ Alkmaar,23, AM(CR)  ,14(1),1166,3,1.6,35.7,84.3,0.3,1.2,0.1,7.27,4,1,0,1.5,1.3,2,1.1,0.7,0.2,1.5,1.5,1.9,1.1,1.1,0,0.5,1.1,0.1,0
20,Ramiz Zerrouki,113,Twente,25, DMC  ,32,2814,3,1.3,65.8,85.4,0.5,5.6,0.1,7.27,1,5,0,1,1.7,0,0.5,1,0,0.6,0.9,3,1.7,1.6,0.2,1.2,1.1,0.2,0
21,Tijjani Reijnders,243,AZ Alkmaar,24, DMC  ,34,3048,7,1.8,56.1,88.8,0.7,2.1,0.2,7.26,3,4,0,2.1,0.5,3,1.5,0.5,0,0.9,1.5,1.1,1.6,0.9,0,0.8,0.7,0.4,0
22,Vito van Crooij,303,Sparta Rotterdam,27," AM(CLR),FW  ",33(1),2866,11,2.3,27.5,74.3,1.8,1.6,0,7.23,12,4,0,2,1.1,7,0.5,0.5,0.4,0.8,1.3,0.7,0.4,0.8,0,0.8,0.9,0.1,0
