,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Clayson,1240,Ponte Preta,28," AM(LR),FW  ",1,90,0,2,36,83.3,1,1,1,8.86,2,0,0,3,0,0,1,0,1,3,3,2,0,1,0,0,0,0,0
1,Walter,1237,Corinthians,35, GK  ,1,86,0,0,23,43.5,0,7,0,7.89,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,Hernanes,1224,Sao Paulo,37, M(C)  ,19,1672,3,1.6,50.7,83.4,0.6,2.2,0.3,7.67,9,3,0,2.7,1.1,8,2.7,2.6,0.1,1.7,1.6,1.6,0.8,0.9,0,1,0.5,0.3,0
3,Romércio,1236,Coritiba,26, Defender  ,0(1),85,0,0,19,73.7,0,2,0,7.62,0,0,0,1,1,0,0,0,0,0,0,1,5,1,1,12,1,1,0
4,Thiago Carleto,1236,Coritiba,34," D(L),M(L)  ",21,1753,8,2,36.1,73.6,2.3,2.2,0,7.47,2,4,0,1.9,1.7,3,0.3,0.6,0,0.8,1.2,1.8,1.9,0.9,0.1,3.5,0.8,0.5,0
5,Bruno Henrique,1241,Santos FC,32," AM(CLR),FW  ",28,2503,11,1.5,27.7,71.6,0.4,0.6,0.1,7.45,8,6,1,1.9,2.7,4,2.3,3,0.4,2.8,2.9,1.6,0.8,2.6,0,2,0.9,0.2,0
6,João Paulo,1241,Santos FC,27, GK  ,1,90,0,0,30,60,0,6,0,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7,Dudu,1234,Palmeiras,31," AM(CLR),FW  ",23(3),2098,5,2.2,30.9,78.2,1.6,1.7,0.1,7.39,9,6,0,1.7,0.4,6,1.7,3.9,0.3,1.9,1.8,0.8,0.7,0.9,0,0.2,0.8,0.1,0
8,Marcão,6368,Atletico GO,26, D(C)  ,1,90,0,1,16,87.5,1,1,0,7.38,0,0,0,1,0,0,0,0,0,0,0,1,3,0,3,10,0,3,0
9,David Braz,1241,Santos FC,36, D(C)  ,28,2441,2,0.3,47.3,87.2,0,2.6,0,7.36,3,8,1,0.5,2.3,1,0.4,0.6,0.1,0.1,0.6,1.3,2.1,0.9,0.3,7.5,0.2,1.6,0
10,Alex Silva,1235,Atletico MG,29, D(R)  ,12,1069,3,0.4,33.8,73.9,0.3,2.1,0,7.35,0,5,0,0.3,1.8,0,1.6,1.8,0.1,0.1,1.6,2.5,3.5,2,0.3,2.3,1,0.3,0
11,Danilo Barcelos,1235,Atletico MG,31," D(L),M(CL)  ",1,90,0,1,39,61.5,0,3,0,7.35,0,0,0,1,3,0,0,0,0,0,2,0,10,0,2,4,2,0,0
12,Michel,1244,Gremio,33," D(C),DMC  ",22(1),1987,0,0.3,65.3,87.5,0,5.2,0,7.29,5,7,0,1.1,2.2,1,0.6,1.1,0.2,0.5,1.4,2.5,2.8,2,0.1,1.3,1,0.3,0
