,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Hakim Ziyech,130,Ajax,30, M(CLR)  ,34,3043,15,4.2,61.1,75.4,2.9,5,0.6,8.21,9,4,0,4.9,0.2,9,3.4,1.4,0.1,2.4,2.4,1.6,1,1.3,0,0.3,2,0.1,0
1,Alireza Jahanbakhsh,243,AZ Alkmaar,29, AM(CLR)  ,33,2840,12,2.4,42.6,73.4,0.9,1.4,0.3,8.20,21,3,0,4.3,0.7,14,3.4,2,0.5,2.2,2.5,2.1,0.5,1.2,0,0.1,1.3,0,0
2,Hirving Lozano,129,PSV Eindhoven,27," AM(LR),FW  ",29,2350,8,2.6,20,75.3,2.4,0.7,0,7.90,17,4,2,3.4,0.6,8,2.1,2.4,0.9,1.2,2.8,1.1,0.4,1,0,0.1,0.9,0,0
3,David Neres,130,Ajax,26, AM(CLR)  ,28(4),2534,11,2.2,31.8,83.1,0.2,0.3,0.2,7.85,14,3,0,2.1,0.3,6,3.6,1.3,0.2,2.5,2.6,1.3,0.4,0.8,0,0.1,1,0.1,0
4,Steven Berghuis,256,Feyenoord,31," AM(CR),FW  ",31,2597,12,2.1,49.4,78.4,1.4,4,0.1,7.81,18,5,1,2.9,0.4,9,2.5,1.3,0.2,1.4,1.7,1,0.4,0.6,0,0.2,0.8,0,0
5,Luuk de Jong,129,PSV Eindhoven,32," AM(C),FW  ",22(6),2078,5,1.7,24.4,66.7,0,0.4,0.1,7.69,12,1,0,3.4,5.7,4,0.3,1.3,0.3,0.9,1.9,0.9,0.2,0.6,0,0.8,0.5,0.1,0
6,Azor Matusiwa,130,Ajax,25, DMC  ,1,90,0,3,77,85.7,0,2,0,7.66,0,0,0,0,6,0,2,2,0,1,0,2,1,2,0,2,0,0,0
7,Marko Vejinovic,243,AZ Alkmaar,33, DMC  ,7,557,4,3,69.7,86.3,2.9,4.9,0,7.64,0,2,0,1.4,0.7,2,0.7,0.6,0,0.3,0.6,3.6,0.7,1.4,0,1,1.4,0.1,0
8,Mike Hauptmeijer,868,PEC Zwolle,26, Goalkeeper  ,0(1),47,0,0,25,48,0,8,0,7.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,Brandley Kuwas,870,Heracles,30," AM(CR),FW  ",29(1),2497,13,3.2,28,76.9,1.8,1.8,0.1,7.53,5,1,0,2.2,0.2,6,3.6,2.9,0.4,4.2,3.7,1,0.1,0.6,0,0,0.7,0.1,0
10,Marco van Ginkel,129,PSV Eindhoven,30, M(C)  ,28,2483,4,1.6,45.3,79.4,0.3,3.2,0.1,7.51,14,4,0,2.8,3.1,4,0.6,1.5,0.1,0.7,1.5,1.3,1.1,2,0,1.5,1.5,0.2,0
11,Justin Kluivert,130,Ajax,24, AM(LR)  ,27(3),2335,5,1.6,27.3,86.7,0.8,0.6,0.1,7.51,10,2,0,2.7,0.1,4,2.7,1.4,0.2,1.3,2.4,1.1,0.4,1.4,0,0.1,0.7,0.1,0
12,Jürgen Locadia,129,PSV Eindhoven,29," AM(LR),FW  ",15,1253,2,1.5,28.6,77.2,0.5,1.8,0,7.51,9,1,0,4.4,0.9,2,0.5,1.8,0.6,1.1,2.7,0.5,0.2,1.5,0,0.7,0.3,0.1,1
13,Konstantinos Lamprou,130,Ajax,31, GK  ,1,90,0,0,30,73.3,0,6,0,7.48,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
14,Lasse Schöne,130,Ajax,36, M(CLR)  ,27(3),2350,3,1.4,56.1,87,0.9,1.7,0.1,7.45,10,6,0,1.9,1.9,2,1.1,1,0,1,1.2,2.1,1.3,0.9,0,1,1.2,0.2,0
15,Zakaria Labyad,128,FC Utrecht,30," AM(CLR),FW  ",29,2550,9,2.8,30.4,72.8,2.4,1.4,0.2,7.44,12,7,0,3.4,0.7,3,0.8,1.2,0.2,1.7,1.9,0.8,0.3,1.7,0,0.2,0.4,0,0
16,Wout Weghorst,243,AZ Alkmaar,30, FW  ,31,2762,6,1.3,28.7,73.5,0,0.8,0.1,7.42,18,5,1,3.7,2.4,0,0.5,1.4,0.8,1.2,2,0.7,0.1,1.2,0,1.3,0.7,0.1,0
17,Oussama Idrissi,243,AZ Alkmaar,27, AM(LR)  ,9(3),749,6,2.7,33.4,83.3,1.2,1.4,0.1,7.40,3,1,0,2,0.3,2,2.6,1.1,0.2,1.8,1.8,0.9,0.2,1,0,0.2,1.2,0,0
