,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Julián Álvarez,905,River Plate,23," AM(CR),FW  ",4(1),391,2,2.6,31.4,73.9,0.8,1,0.8,7.66,3,0,0,3.8,0.6,1,2.4,0.8,0.2,1.2,2.6,1,0.2,1.4,0,0,0.4,0,0
1,Elías Fugas,891,Colon,22, Defender  ,1,90,0,0,64,65.6,0,2,0,7.61,0,0,0,0,5,0,1,0,0,0,3,5,3,2,0,9,1,1,0
2,Brahian Alemán,896,Gimnasia LP,33," M(CLR),FW  ",24,2086,4,2.7,36,64.8,2.8,3.5,0.1,7.55,5,8,0,2.9,2.1,7,1.5,3.1,0,2.4,2.9,2.1,0.8,1,0.2,1.3,1,0.1,0
3,Eduardo Salvio,889,Boca Juniors,32, M(CR)  ,1,66,0,4,29,82.8,1,0,0,7.42,1,0,0,3,0,0,2,1,0,1,3,0,0,1,0,0,2,0,0
4,Martín Ojeda,3802,Godoy Cruz,24, AM(CLR)  ,27,2384,9,3.2,34.1,73.6,2.8,3,0.1,7.40,6,4,0,3.3,0.5,6,1.3,0.7,0.1,1,2.5,1.2,0.5,0.3,0,0.3,0.9,0.1,0
5,Franco Cristaldo,898,Huracan,26, AM(CLR)  ,27,2409,5,2.3,41.3,75,1.8,3.5,0.1,7.38,14,3,0,2.3,1.4,6,1,1.5,0.2,1.6,2,1.7,0.6,0.4,0,0.4,0.9,0.1,0
6,Ramiro Carrera,6148,Atletico Tucuman,29," AM(CLR),FW  ",24,2053,4,1.5,29.3,57.8,1.2,2.7,0.2,7.38,7,8,0,2.8,2.6,7,1.5,2.3,0.2,1.8,1.8,1.6,0.8,1.1,0,1.9,1.1,0.5,0
7,Sebastián Villa,889,Boca Juniors,27," AM(CLR),FW  ",13(5),1268,7,1.9,23.9,82.3,1.4,2.1,0,7.37,4,1,0,2.3,0.3,5,2.7,2.3,0.3,1.4,2.7,0.7,0.4,0.6,0,0.1,0.4,0,0
8,Mateo Pérez,1303,Banfield,22, Defender  ,1,90,0,0,42,69,0,2,0,7.32,0,1,0,0,8,0,0,0,0,0,0,1,1,1,0,4,0,1,0
9,Cristian Tarragona,896,Gimnasia LP,32, FW  ,3,234,0,2.3,22.3,65.7,0,1.3,0,7.31,2,0,0,2.3,1.3,0,2,0.7,0,3,5.3,2,0.3,1.7,0,0.3,0.3,0,0
