,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Harry Kane,30,Tottenham,29," AM(C),FW  ",35,3087,14,1.4,25.9,69.9,0.2,1.9,0.1,7.79,23,1,0,3.9,2.2,13,1.5,1.7,0.4,1.5,1.8,0.6,0.3,0.7,0,1.1,0.5,0.3,0
1,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",23(2),2001,12,3.2,50.6,81.7,1.6,2.6,0.2,7.65,6,1,0,3.2,0.2,8,1.9,1.2,0,1.3,1.8,1.4,0.4,1.1,0,0.3,1.4,0,0
2,Jack Grealish,24,Aston Villa,27," AM(CL),FW  ",24(2),2184,10,3.1,38.3,83.3,0.7,1.2,0.1,7.56,6,6,0,1.9,1,4,2.5,4.2,0.3,1.5,2.1,1.2,0.5,1.5,0,0.2,0.3,0.1,0
3,Bruno Fernandes,32,Man Utd,28, M(CLR)  ,35(2),3110,12,2.6,57.1,78.3,1.1,3.8,0.2,7.43,18,6,0,3.3,0.4,6,0.6,1.4,0.1,1,1.5,1.5,0.7,1.2,0,0.7,2,0,0
4,Tomás Soucek,29,West Ham,28, DMC  ,38,3420,1,0.5,42.3,75.5,0,2.2,0,7.36,10,7,1,1.7,6.2,6,0.4,1.1,0.1,0.6,1.1,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1
5,Mason Mount,15,Chelsea,24, M(CLR)  ,32(4),2892,5,2.4,47.3,86.5,1.7,1.6,0,7.33,6,2,0,2.3,0.6,4,1.2,1.2,0.1,1.1,1.6,2.1,0.9,1.4,0,0.3,1.2,0.1,0
6,Sadio Mané,26,Liverpool,31," AM(CLR),FW  ",31(4),2813,7,1.7,28.8,78.7,0.3,0.8,0,7.33,11,3,0,2.7,1,7,2.3,2.2,0.9,1.7,2.9,1.4,0.4,1.5,0,0.3,0.6,0,0
7,Riyad Mahrez,167,Man City,32," AM(CLR),FW  ",23(4),1955,6,1.6,37.2,88.4,0.7,0.9,0,7.31,9,0,0,2.1,0.6,4,1.7,1.1,0.3,1.1,1.7,0.7,0.3,0.5,0,0.1,0.9,0,0
8,João Cancelo,167,Man City,28," D(LR),M(R)  ",27(1),2302,3,1.6,66.2,87.1,0.4,2.4,0.1,7.31,2,5,1,1.3,1.1,2,1.7,0.6,0.1,0.8,1.3,2.4,1.5,1.3,0.3,1,1.4,0.1,0
9,Gareth Bale,30,Tottenham,33," M(CLR),FW  ",10(10),923,2,1.1,18.3,73.2,0.6,1.5,0.1,7.30,11,1,0,1.9,1.2,4,1.4,0.5,0.3,0.4,0.9,0.9,0.4,0.5,0.1,0.7,0.4,0.1,0
10,Nathaniel Phillips,26,Liverpool,26, D(C)  ,15(2),1456,1,0.4,65.7,84.2,0,2.6,0,7.29,1,2,0,0.9,5.6,3,0.1,0.5,0,0.2,0.5,1.3,1.2,1.2,0.5,4.8,0.8,0.8,0
11,Ilkay Gündogan,167,Man City,32, M(C)  ,23(5),2031,2,1.5,61.2,91.7,0.3,1.6,0,7.29,13,1,0,1.9,0.4,2,1,0.9,0,0.5,1.1,0.9,0.7,0.3,0,0.3,1,0.1,0
12,Son Heung-Min,30,Tottenham,30," M(CLR),FW  ",36(1),3127,10,2,28.6,83.4,1,0.8,0,7.27,17,0,0,1.8,0.5,0,1.1,1.5,0.4,1.4,1.6,0.9,0.4,0.4,0,0.1,1.5,0.1,0
13,Wilfred Ndidi,14,Leicester,26," D(C),DMC  ",25(1),2179,4,0.6,55.1,86.9,0,2,0,7.25,1,6,0,0.6,2.2,1,0.6,0.6,0,0.5,1,3.7,2.3,2.1,0.1,2,1.5,0.4,0
14,Jesse Lingard,29,West Ham,30," AM(CLR),FW  ",16,1426,4,1.1,39.6,83.6,0.4,1,0,7.22,9,3,0,2.6,0,2,1.1,1.5,0.4,1.4,1.8,0.8,0.3,1.3,0,0,0.6,0.1,0
15,Raphinha,19,Leeds,26," AM(LR),FW  ",26(4),2364,9,2.1,29.2,72.3,1.3,1.5,0,7.22,6,3,0,2.2,0.3,4,1.9,1,0.5,1.1,2.8,1.1,1,0.4,0,0.9,1.5,0,0
16,Raheem Sterling,167,Man City,28," M(CLR),FW  ",28(3),2537,7,1.3,35.9,86.2,0,0.3,0,7.22,10,4,0,2.3,0.3,4,2.1,1.3,0.3,2.7,2,0.7,0.5,1.2,0,0.1,0.2,0,0
17,James Rodríguez,31,Everton,31," AM(CLR),FW  ",21(2),1776,4,1.7,44.8,83.3,0.7,4.3,0.2,7.21,6,4,0,1.6,0.3,3,1.5,1.7,0.3,1.7,1.4,1.2,0.7,0.7,0,0,1.5,0,0
18,Ollie Watkins,24,Aston Villa,27," AM(LR),FW  ",37,3329,5,1.2,21.7,71.5,0.1,0.2,0,7.18,14,2,1,2.6,3.7,4,1.1,1.3,0.8,2.3,3.1,0.8,0.2,1.3,0,0.6,0.6,0.1,0
19,Kortney Hause,24,Aston Villa,27, D(CL)  ,7,630,0,0,33.1,74.6,0,2.3,0,7.17,1,2,0,0.7,5.6,0,0,0.4,0,0,0.1,0.6,1.1,0.7,0.4,7.6,0.4,0.3,0
20,Rodri,167,Man City,26," D(C),DMC  ",31(3),2749,2,1,81.9,91.3,0.1,4.6,0,7.17,2,6,0,0.9,2.4,1,0.8,0.9,0.1,0.6,0.7,2.1,1.1,1.3,0,1.6,1,0.3,0
21,Michail Antonio,29,West Ham,33," D(R),M(CLR),FW  ",24(2),1984,5,1,17.4,68.2,0.1,0.5,0,7.17,10,3,0,2.4,2.8,2,1.7,1.5,0.6,1.9,3,0.3,0.3,1.1,0,0.3,0.2,0.1,0
22,Dominic Calvert-Lewin,31,Everton,26," AM(L),FW  ",32(1),2876,0,0.5,20.5,68.7,0.1,0.5,0,7.17,16,3,0,2.5,4.7,4,0.7,1.2,0.5,0.9,3.1,0.5,0.2,1.1,0,1,0.2,0.2,0
23,Jimmy Dunne,184,Burnley,25, D(C)  ,3,270,0,0.7,51,68.6,0,3.3,0,7.16,1,1,0,2.3,7.7,0,0.3,1,0,0.3,0.3,1,2,0.7,0.3,5.3,0.3,0.7,0
24,Aaron Wan-Bissaka,32,Man Utd,25," D(R),M(R)  ",34,3060,4,0.9,53.1,84.9,0.4,0.8,0,7.15,2,3,0,0.2,1.1,3,1,0.4,0,0.6,1,2.6,1.8,0.9,0.2,1.8,0.4,0.5,0
25,Phil Foden,167,Man City,22," AM(CLR),FW  ",17(11),1614,5,1.3,27.2,88.2,0.5,0.3,0,7.14,9,0,0,1.6,0.6,3,1.4,1.2,0.1,0.5,1.7,0.8,0.4,0.4,0,0.4,0.5,0,0
26,Joe Willock,23,Newcastle,23, M(C)  ,11(3),980,0,0.6,16.2,77.1,0.2,0.6,0,7.13,8,0,0,1.4,0.8,1,1.6,1.1,0,1.1,1.5,1.9,1.2,0.6,0,0.7,2.4,0.2,0
