,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Neymar,304,PSG,31," AM(CLR),FW  ",20,1788,13,3.5,66.8,79.6,1.1,2.1,1.1,8.95,19,4,1,4.5,0.2,12,7.1,5.2,0.5,2.9,3.4,1,0.3,1.2,0,0,1.7,0,0
1,Florian Thauvin,249,Marseille,30," M(CLR),FW  ",35,2966,11,2.2,45.8,78.2,1.2,1.5,0.3,7.93,22,7,0,3.7,0.4,13,3.4,1.5,0.5,2.5,2.3,1.3,0.5,0.7,0,0.4,0.9,0,0
2,Nabil Fekir,228,Lyon,29," AM(CLR),FW  ",28(2),2481,8,2,37.9,85.3,1.3,1,0.1,7.86,18,8,0,3,0.7,12,3,3.5,0.6,2.5,2.4,1.5,0.3,2.4,0,0.1,1.1,0,0
3,Adama Traoré,248,Monaco,27," M(CR),FW  ",2(1),189,0,0.3,24,84.7,0,1,0.3,7.77,3,1,0,2,0.7,0,1,2,0,1.7,2,2,1,0.3,0,0.3,1,0,0
4,Edinson Cavani,304,PSG,36," AM(LR),FW  ",30(2),2589,6,1.2,15.9,80.2,0,0.4,0.2,7.69,28,3,0,3.3,0.3,2,0.5,0.6,0.8,0.4,1.1,0.5,0.2,0.6,0.1,0.7,0.4,0,0
5,Jean-Christophe Bouet,151,Amiens,39, Goalkeeper  ,1,90,0,0,26,42.3,0,8,0,7.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
6,Kylian Mbappé,304,PSG,24," AM(LR),FW  ",24(3),2097,8,1.9,24.7,83.1,0.4,0.3,0.3,7.54,13,2,0,2.9,0.3,7,2.9,1.4,0.9,2.2,2.4,0.4,0,0.4,0,0,0.5,0,0
7,Dimitri Payet,249,Marseille,36," M(CLR),FW  ",28(3),2358,13,3.9,45.3,80.6,2.5,3,0.6,7.54,6,6,0,1.9,0.2,4,1.5,1.7,0.1,1.6,1.7,0.7,0.6,0.5,0,0.2,0.9,0.1,0
8,Mathieu Debuchy,145,Saint-Etienne,37," D(CR),M(R)  ",15,1316,0,0.9,37.9,74.5,0.9,1.3,0,7.53,4,1,0,1.3,4.1,2,0.4,0.9,0.1,0.7,1.5,2.3,1.8,1.5,0.2,3.9,0.9,0.7,1
9,Fabinho,248,Monaco,29," D(CR),DMC  ",34,3060,3,1.1,58.2,86.3,0.1,4.7,0.1,7.51,7,8,0,0.7,2.9,6,1.1,1.9,0,0.6,0.7,3.4,1.3,1.7,0.1,1.7,1.9,0.4,0
10,Kylian Mbappé,248,Monaco,24," AM(LR),FW  ",1,75,0,0,27,70.4,0,1,0,7.51,0,0,0,3,0,0,4,1,2,1,1,1,1,0,0,0,0,0,0
11,Malcom,315,Bordeaux,26, AM(CLR)  ,32(3),2867,7,2.5,38.6,82.1,1.5,1.8,0.1,7.46,12,2,0,2.1,0.5,8,2.7,2.6,0.2,1.9,2.1,0.4,0.4,0.7,0,0.1,0.8,0,0
12,Dani Alves,304,PSG,40," D(R),M(CR)  ",23(2),2063,7,1.9,72,87.8,1.2,4.2,0.3,7.45,1,7,1,1.1,0.7,1,1.1,1.4,0.2,1.2,0.8,3.2,1.1,1.5,0.3,0.6,1,0.1,0
13,Bertrand Traoré,228,Lyon,27," AM(R),FW  ",27(4),2292,4,0.8,32.2,82.7,0.1,1.2,0.1,7.43,13,3,0,2.6,0.9,2,1.7,1.1,0.3,1.3,2.5,1,1.3,0.8,0,0.7,0.8,0.1,0
14,Tanguy Ndombélé,151,Amiens,26, M(C)  ,3,237,0,1.3,36.7,78.2,0,1.7,0.3,7.43,0,0,0,1.7,1,0,4.7,1.7,0,2.7,2,2,1.7,0.3,0,1,1,0,0
15,Houssem Aouar,228,Lyon,24, M(CL)  ,27(5),2438,5,1.2,48.5,85.6,0,1.4,0.2,7.41,6,1,0,1.6,0.8,4,2.6,1.4,0.2,1.7,1.6,2.1,1.2,0.6,0,0.9,1.5,0,0
16,Memphis Depay,228,Lyon,29," AM(CL),FW  ",28(8),2564,13,2.1,31,79.7,1.3,0.9,0.1,7.40,19,3,0,2.9,0.2,8,1.6,1.4,0.3,1.8,2.5,0.4,0.3,1,0,0.1,0.7,0,0
17,David Alcibiade,302,Nantes,31, Defender  ,2(1),207,1,0.7,23.7,73.2,0.3,2,0.3,7.38,0,0,0,0.7,2,1,0,0.7,0.3,0.3,0.3,3,2.3,0.7,0,2.7,0.7,1,0
18,Ángel Di María,304,PSG,35," M(CLR),FW  ",26(4),2122,6,1.7,35.9,79.4,1.1,1.9,0.2,7.37,11,1,0,3.2,0,3,1.6,0.5,0.5,1.1,1.4,0.4,0.3,0.3,0,0.3,1.1,0.1,0
19,Enock Kwateng,302,Nantes,26," D(CR),M(R)  ",1,90,0,0,33,63.6,0,1,0,7.35,0,0,0,0,1,0,0,0,0,0,1,8,1,0,0,6,4,0,0
20,Rémy Cabella,145,Saint-Etienne,33," M(CLR),FW  ",25(1),2261,6,1.9,56.7,82.3,0.6,2.1,0.2,7.34,7,3,0,2.2,0.3,6,2.4,2.6,0.2,2.4,1.8,2.2,0.5,0.7,0,0.2,2.2,0,0
21,Seydou Sy,248,Monaco,27, GK  ,2(1),256,0,0,26.3,60.8,0,8,0,7.34,0,1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
22,Jorge,248,Monaco,27," D(L),M(L)  ",22,1922,2,0.6,34,77.8,0.6,1.5,0,7.32,1,8,0,0.3,1.4,1,1,2,0.1,1,1.5,3.1,3,1.3,0.3,3.5,0.7,0.1,0
23,Naïm Sliti,1364,Dijon,30, AM(CL)  ,26(5),2297,6,1.9,25.6,73.1,1.1,1.2,0.1,7.31,7,2,0,1.9,0.5,3,3.4,2.1,0.3,2.3,2.4,1.5,0.4,0.7,0,0.2,1,0.1,0
24,Jessy Moulin,145,Saint-Etienne,37, GK  ,3(1),304,0,0,31.3,52.8,0,8.8,0,7.30,0,1,0,0,1,1,0,0.5,0,0,0,0,0,0.3,0,1.5,0,0,0
25,Marco Verratti,304,PSG,30, M(C)  ,20(2),1724,3,1.3,92.7,91.2,0.1,4.9,0.5,7.28,0,8,1,0.3,0.3,0,1.9,2.4,0,1.6,0.9,2.3,1.2,1.4,0,0.5,2,0.3,0
26,Benjamin André,313,Rennes,32," D(R),M(CLR)  ",34,3016,3,1,54.6,79,0.1,2.2,0,7.26,3,10,1,0.9,5.6,5,1,1.4,0,1.6,1.9,2.7,1.6,2.1,0,2.6,2.1,0.1,0
27,Tanguy Ndombélé,228,Lyon,26, M(C)  ,28(4),2364,6,1.4,47.3,89.4,0.1,1.4,0.2,7.25,0,5,0,0.8,0.5,1,2.5,2.2,0,1.5,1.8,1.9,1.1,1.1,0,0.1,0.9,0.3,0
28,Mario Balotelli,613,Nice,32, FW  ,26(2),2279,1,1.2,27.4,76.5,0.1,1.9,0.2,7.24,18,11,1,3.9,1.1,3,1.1,2.6,0.8,1.6,1.9,0.3,0.3,2.1,0,0.9,0.2,0.1,0
29,Júlio Tavares,1364,Dijon,34," AM(LR),FW  ",23(3),2056,2,1,20.1,60.3,0.1,0.1,0,7.22,12,3,0,2,6.4,5,0.4,1.1,0.5,0.7,2,0.1,0.1,1.1,0,1.4,0.4,0.2,0
30,Luiz Gustavo,249,Marseille,35," D(C),M(C)  ",34,3023,1,0.4,57.1,89.9,0.1,3.3,0,7.22,5,10,1,1.7,1.1,0,1.1,1.2,0,0.8,0.7,2.6,1.5,1.7,0.1,1.6,1.1,0.4,0
31,Luiz Gustavo,249,Marseille,35," D(C),M(C)  ",34,3023,1,0.4,57.1,89.9,0.1,3.3,0,7.22,5,10,1,1.7,1.1,0,1.1,1.2,0,0.8,0.7,2.6,1.5,1.7,0.1,1.6,1.1,0.4,0
32,Maxime Poundjé,315,Bordeaux,30, D(L)  ,19,1704,1,0.8,35.2,78.6,0.7,1.4,0.1,7.21,0,5,0,0.8,1.4,0,1.8,0.7,0.2,0.9,0.9,2.8,1.8,1,0.3,2.7,1.2,0.3,0
33,Maxime Poundjé,315,Bordeaux,30, D(L)  ,19,1704,1,0.8,35.2,78.6,0.7,1.4,0.1,7.21,0,5,0,0.8,1.4,0,1.8,0.7,0.2,0.9,0.9,2.8,1.8,1,0.3,2.7,1.2,0.3,0
34,Nordi Mukiele,311,Montpellier,25," D(CR),M(R)  ",31(2),2791,1,1.1,45.5,78.7,0.7,3,0.1,7.20,0,5,0,0.6,2.3,3,1.2,2,0,0.8,1.3,2.1,2.2,1,0.3,3,0.6,0.4,0
35,Nordi Mukiele,311,Montpellier,25," D(CR),M(R)  ",31(2),2791,1,1.1,45.5,78.7,0.7,3,0.1,7.20,0,5,0,0.6,2.3,3,1.2,2,0,0.8,1.3,2.1,2.2,1,0.3,3,0.6,0.4,0
36,Marcelo,228,Lyon,35, D(C)  ,35,3107,1,0.2,63.7,87.6,0,5.9,0,7.18,3,5,1,0.6,4,1,0.1,0.2,0,0.1,0.4,0.8,1.6,0.9,0.4,6.5,0.5,0.5,1
37,Marcelo,228,Lyon,35, D(C)  ,35,3107,1,0.2,63.7,87.6,0,5.9,0,7.18,3,5,1,0.6,4,1,0.1,0.2,0,0.1,0.4,0.8,1.6,0.9,0.4,6.5,0.5,0.5,1
38,Dimitri Liénard,148,Strasbourg,35," D(L),M(CL)  ",29(4),2606,5,1.8,41.6,79.9,2.3,4.2,0,7.17,5,7,0,1.6,0.3,5,1,1.1,0,1.4,1.7,2.3,1.5,0.8,0,1,1.6,0.1,0
39,Dimitri Liénard,148,Strasbourg,35," D(L),M(CL)  ",29(4),2606,5,1.8,41.6,79.9,2.3,4.2,0,7.17,5,7,0,1.6,0.3,5,1,1.1,0,1.4,1.7,2.3,1.5,0.8,0,1,1.6,0.1,0
40,Yuri Berchiche,304,PSG,33," D(L),M(L)  ",19(3),1714,4,0.7,45.7,89.4,0.4,0.8,0,7.16,2,4,0,0.5,1.8,0,0.6,1.3,0.1,0.3,0.9,1.8,1.1,0.8,0.1,1.5,0.6,0.1,0
41,Yuri Berchiche,304,PSG,33," D(L),M(L)  ",19(3),1714,4,0.7,45.7,89.4,0.4,0.8,0,7.16,2,4,0,0.5,1.8,0,0.6,1.3,0.1,0.3,0.9,1.8,1.1,0.8,0.1,1.5,0.6,0.1,0
42,Benjamin Bourigeaud,313,Rennes,29, M(CLR)  ,35(2),3106,7,2.6,39.8,80.2,2.4,2.3,0,7.16,10,3,0,1.8,0.4,4,0.6,0.4,0.1,1,1.4,1.5,1.2,0.9,0,0.6,2,0.1,0
43,Benjamin Bourigeaud,313,Rennes,29, M(CLR)  ,35(2),3106,7,2.6,39.8,80.2,2.4,2.3,0,7.16,10,3,0,1.8,0.4,4,0.6,0.4,0.1,1,1.4,1.5,1.2,0.9,0,0.6,2,0.1,0
