,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Neymar,65,Barcelona,31," AM(CLR),FW  ",30,2652,11,3,50.7,76.5,2.2,2.2,0.3,8.52,13,6,1,3.5,0.3,9,5.6,4.2,0.7,2.8,2.6,1.3,0.3,1.2,0,0.1,0.5,0,0
1,Lionel Messi,65,Barcelona,35," AM(CR),FW  ",32(2),2833,9,2.3,48.4,80.2,0.3,2.7,0.6,8.47,37,6,0,5.3,0.2,16,3.7,2.3,0.1,2.6,1.4,0.7,0.2,0.4,0,0,0.4,0,0
2,Lucas Pérez,59,Deportivo,34," AM(CR),FW  ",1,90,1,3,25,84,3,2,0,8.08,1,0,0,3,0,0,0,2,3,4,1,0,0,2,0,0,0,0,0
3,Davy Roef,59,Deportivo,29, GK  ,1,90,0,0,22,72.7,0,5,0,7.98,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Luis Suárez,65,Barcelona,36," AM(CLR),FW  ",34(1),2865,13,1.8,24.9,74.8,0.2,0.9,0.1,7.80,29,8,0,3.4,0.3,4,1,1.3,1.6,0.9,2,0.5,0.3,0.9,0,0.7,0.2,0.1,0
5,Toni Kroos,52,Real Madrid,33, M(C)  ,28(1),2501,12,2.8,71.4,92.2,1.6,8.1,0.1,7.67,3,6,0,1.1,0.4,3,1,1.2,0,0.5,0.3,2.6,1.1,0.9,0,0.3,1.5,0.1,0
6,Cristiano Ronaldo,52,Real Madrid,38," M(L),FW  ",29,2544,6,1.1,26.6,80,0.3,0.4,0,7.61,25,4,0,5.6,1.2,4,0.9,1.6,1.2,1.3,1.7,0.2,0.3,0.6,0,0.5,0.2,0.1,0
7,Filipe Luís,63,Atletico,37, D(L)  ,34,3009,6,1,52.1,82.7,0.8,2.4,0,7.55,3,5,0,0.7,0.9,6,2.2,1.4,0.2,0.9,1.1,3.5,1.9,1,0.1,1.4,0.6,0.3,0
8,Cote,839,Villarreal,33, D(L)  ,7,630,1,1.1,50.4,82.4,1,3.3,0,7.54,0,2,0,1,0.4,2,1.7,0.6,0,0.6,0.6,3.4,2.1,1,0.3,3.4,0.9,0.4,0
9,Gareth Bale,52,Real Madrid,33," M(CLR),FW  ",17(2),1425,2,1.2,29.4,78.9,0.5,1.3,0,7.49,7,3,1,3.4,1.7,3,1.4,0.8,0.7,0.8,0.8,0.9,0.9,0.5,0.1,0.7,0.3,0.1,0
10,Danilo,52,Real Madrid,31," D(CLR),DMC  ",17,1488,2,1.1,45.3,86.4,0.4,2.1,0.1,7.41,1,2,0,0.6,1.7,0,0.8,1.3,0.1,0.5,0.5,3,2.4,1,0.1,2.3,0.8,0.5,0
11,Borja Viguera,53,Athletic Bilbao,36," AM(L),FW  ",0(1),26,0,2,14,64.3,1,0,0,7.39,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,Antoine Griezmann,63,Atletico,32," AM(CLR),FW  ",36,3067,8,1.6,35.6,78.3,0.1,1.2,0.1,7.37,16,3,0,2.4,1.2,4,0.7,0.9,0.8,1.2,1.3,1.3,0.5,0.8,0,0.4,0.6,0.1,0
13,Aleix Vidal,65,Barcelona,33," D(R),M(LR)  ",5(1),472,2,0.8,52,82.4,0.3,2.5,0,7.34,2,0,0,1.5,0.3,0,0.8,0.8,0.5,0.5,0.8,1.3,1.3,1.2,0.2,0.8,0.5,0.2,0
14,Asier Illarramendi,68,Real Sociedad,33, M(C)  ,33(1),3004,2,0.9,69,84.1,0.4,5.3,0.1,7.32,1,13,0,0.6,1.2,6,0.9,1.9,0,0.9,0.7,3.1,3.5,1.6,0,1.7,1.4,0.3,1
15,Dani Ceballos,54,Real Betis,26, M(CL)  ,24(6),2336,2,1.3,46.3,80.8,0.3,3.9,0.1,7.32,2,8,0,1.2,0.4,3,2.7,3.9,0,2.3,1.9,3.1,1.9,1.7,0,0.4,2.2,0.1,0
16,Saúl Ñíguez,63,Atletico,28," D(CL),M(CLR)  ",29(4),2544,3,0.8,36.3,77.4,0.1,1.2,0.1,7.31,4,8,0,1.4,2.6,4,1,0.9,0.1,1.1,1.5,3.1,1.8,2.2,0,1.8,1.1,0.2,0
