,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kaiky Naves,1234,Palmeiras,21, Midfielder  ,2,180,0,1,27.5,80,0,3,0.5,7.89,0,0,0,0.5,3,1,0,0,0,0,0.5,0.5,2,0.5,0.5,9.5,0,3.5,0
1,Giorgian de Arrascaeta,1239,Flamengo,28," AM(CLR),FW  ",11(3),927,6,1.9,45.4,82.7,1.5,2.3,0.4,7.59,1,3,0,2.1,0.6,3,2.9,2.3,0.1,1.7,2.1,1.4,0.1,0.9,0,0.1,0.9,0.1,0
2,Michel,1234,Palmeiras,20, Defender  ,3,270,1,0.3,27.7,72.3,0,3,0,7.50,0,0,0,0,1.7,1,0,0.3,0,0,0.3,2.3,0.3,0.3,0.3,10,1,0.7,0
3,Jandrei,1241,Santos FC,30, GK  ,1,90,0,0,22,50,0,2,0,7.41,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0
4,Bruno Henrique,1239,Flamengo,32," AM(CLR),FW  ",21(3),1905,5,1.3,22.9,74.5,0,0.3,0.1,7.40,11,7,0,2.3,2,3,1.9,2.4,0.4,1.4,2.9,0.8,0.5,1.8,0,1,0.7,0,0
5,Hulk,1235,Atletico MG,36," AM(CLR),FW  ",33(2),2931,7,1.6,23.7,75.6,0.2,0.8,0,7.40,19,3,0,3.2,0.8,9,2.2,2.4,0.4,2.5,3.9,0.3,0.1,1.5,0,0.6,0.4,0,0
6,Artur,5438,Red Bull Bragantino,25, AM(LR)  ,28(2),2497,8,2.1,30.6,81.9,1.3,2.2,0.1,7.26,12,5,1,2.6,0.6,4,1.3,1.9,0,1.4,2.5,0.5,0.4,0.6,0,0.3,0.9,0.2,0
7,Vinícius Silvestre,1234,Palmeiras,29, GK  ,4,360,0,0,29,46.6,0,7.5,0,7.25,0,0,0,0,0.3,0,0,0.3,0,0,0.3,0,0,0,0,1.3,0.3,0,0
8,Ademir,1228,America MG,28, AM(CR)  ,29(2),2573,3,1.9,22.7,72.6,0.9,0.9,0.2,7.25,13,2,0,2.7,0.6,4,2.6,3,0.3,1.2,2.7,0.9,0.4,0.9,0,0.2,1.1,0,0
9,Gerson,1239,Flamengo,26, M(CLR)  ,4,360,0,1.3,55.8,94.6,0,2,0.3,7.20,0,0,0,1,0.8,0,0.8,3.8,0,1.5,1.5,3,0.8,2,0,0.8,0.8,0.5,0
10,Claudinho,5438,Red Bull Bragantino,26," AM(CL),FW  ",5,448,1,3.6,50,78.4,2.4,3.6,0,7.18,0,0,0,3,0.4,0,1,1.8,0.2,1.6,2.8,1.4,0.6,0.8,0,0,1.6,0,0
