,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Asmir Begovic,31,Everton,35, GK  ,1,90,0,0,25,64,0,5,0,7.82,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
1,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",28(4),2425,16,3.1,42.4,80.8,2,2.5,0.5,7.58,7,1,0,2,0.4,9,1,0.9,0.2,0.9,1.3,0.9,0.3,0.6,0,0.3,0.8,0.1,0
2,Stefan Ortega,167,Man City,30, GK  ,3,270,0,0,50.3,85.4,0,7.3,0,7.56,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,0,0.3,0,0,0
3,Erling Haaland,167,Man City,22, FW  ,33(2),2779,8,0.9,13.7,74.8,0,0.1,0.1,7.54,36,5,0,3.5,1.4,6,0.3,0.7,0.2,0.7,1.5,0.1,0.1,0.9,0,0.4,0.1,0.1,0
4,Harry Kane,30,Tottenham,29," AM(C),FW  ",38,3408,3,1.5,22.4,72,0.2,1.9,0.3,7.51,30,6,0,3.4,1.7,8,1.1,1.5,0.4,1.5,1.9,0.4,0.1,0.8,0.1,0.5,0.4,0.2,0
5,Bruno Fernandes,32,Man Utd,28, M(CLR)  ,37,3320,8,3.2,50.1,77.7,0.9,3.1,0.6,7.44,8,6,0,2.5,0.5,6,0.9,1.1,0.4,1.1,1.1,1.8,0.7,1.1,0,1,1.1,0.1,0
6,Gabriel Jesus,13,Arsenal,26," AM(LR),FW  ",24(2),2075,6,1.2,25.9,81.5,0.1,0.6,0.1,7.42,11,6,0,3,1.7,4,1.7,2.2,0.6,2.5,3.4,1.3,0.4,1.7,0,0.5,0.7,0.1,0
7,Kieran Trippier,23,Newcastle,32," D(LR),M(R)  ",38,3348,7,2.9,54.3,76,3.6,3.9,0.2,7.41,1,5,0,0.4,1.3,8,0.5,0.8,0.2,0.2,0.7,1.9,1.1,1.3,0.3,2,1.2,0.4,1
8,Bukayo Saka,13,Arsenal,21," D(L),M(CLR)  ",37(1),3195,11,2,32.5,80.9,1,0.9,0,7.40,14,6,0,2.3,0.4,4,1.7,1.7,0.2,1.6,2.1,1.7,0.4,1.1,0.1,0.4,0.6,0,0
9,Solly March,211,Brighton,28, M(CLR)  ,31(2),2728,7,2,33.4,78.6,1.1,2.1,0.1,7.38,7,2,0,2.2,0.9,6,1.8,1.2,0.4,1,1.7,1.6,0.7,1.4,0.1,0.9,0.6,0.1,0
