,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Thiago Alcântara,37,Bayern,32, M(C)  ,26(1),2291,5,1.8,94.9,90.2,0.6,6.8,0,8.28,6,4,0,1.3,1.7,6,2.2,1,0.1,1.3,1.2,2.8,4.6,1.4,0,0.3,0.6,0.1,0
1,Arjen Robben,37,Bayern,39," M(CLR),FW  ",21(5),1830,9,1.9,38,81.2,0.8,1.1,0.1,7.82,13,0,0,3.2,0.3,5,2.6,1,0.3,1.4,0.9,0.5,0.6,0.3,0,0,0.3,0,0
2,Emil Forsberg,7614,RBL,31," AM(CLR),FW  ",27(3),2349,19,3.1,28.3,76.2,1.6,0.8,0.2,7.75,8,1,1,1.6,0.6,9,2.4,1.7,0.2,1.7,1.7,0.9,1.5,0.9,0,0.4,0.5,0,0
3,Robert Lewandowski,37,Bayern,34, FW  ,31(2),2777,5,0.9,21.5,75.2,0.1,0.5,0,7.74,30,5,0,4.3,1.9,6,1,1.7,0.8,1.5,1.8,0.3,0.4,1.2,0,0.7,0.2,0,0
4,Naby Keïta,7614,RBL,28, M(C)  ,29(2),2416,7,1.3,45.9,81.8,0,1.6,0.2,7.60,8,8,0,1.4,0.6,3,2.7,1.7,0,1.6,1.5,2.6,2.6,2.3,0,0.9,1,0.3,0
5,Max Kruse,42,Werder Bremen,35," M(CLR),FW  ",23,2047,7,2.2,41.3,76.1,1,2.8,0.1,7.54,15,1,0,1.8,1.9,3,0.7,1.1,0.4,1,1.6,0.7,0.6,0.8,0,0.6,0.7,0,0
6,Hakan Çalhanoglu,36,Leverkusen,29," M(CLR),FW  ",14(1),1217,5,1.9,51.5,77.6,1.2,3,0.1,7.49,6,1,0,3.1,1.7,3,0.8,1.3,0.2,1.1,1.9,1.6,1.2,1.2,0,0.6,0.6,0.1,0
7,Kerem Demirbay,1211,Hoffenheim,29, M(C)  ,27(1),2182,8,2.1,36.8,78.8,0.9,2.3,0.1,7.49,6,4,0,1.8,0.4,6,2.1,1.3,0.1,2.2,1.6,2,1.6,1.9,0,0.5,1,0,0
8,Andreas Luthe,1730,Augsburg,36, GK  ,2,180,0,1,25.5,41.2,0,7.5,0,7.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,0,0,0
9,Ousmane Dembélé,44,Borussia Dortmund,25," AM(CLR),FW  ",22(10),2042,12,2,23.8,67,1,1.1,0.2,7.44,6,7,0,1.7,0.2,5,3.2,1.9,0.2,1.3,1.6,0.9,0.8,0.8,0,0.1,0.2,0,0
