,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
317,Bojan,96,Stoke,32," AM(CLR),FW  ",5(4),475,0,0.4,20.9,83.5,0.3,1.1,0.1,6.57,3,1,0,1.1,0.1,0,0.9,1.1,0,0.8,1.3,0.9,0.3,0.4,0,0.6,1.2,0.1,0
318,Andrew Surman,183,Bournemouth,36, M(CL)  ,21(1),1792,1,0.5,59.9,86,0.1,4.8,0.1,6.57,0,1,1,0.4,0.8,0,0.5,0.8,0,0.5,0.4,0.7,1.9,0.8,0.1,1.7,0.8,0.2,0
319,Mark Noble,29,West Ham,36, M(C)  ,29(1),2399,0,0.8,47.9,86.2,0.1,4.2,0,6.57,3,10,0,0.8,0.1,0,0.5,1.4,0,0.7,0.7,1.7,1.2,0.9,0,0.3,1.3,0.2,0
320,Stewart Downing,21,Middlesbrough,38," D(L),M(CLR)  ",24(6),2212,3,1,31.4,81.3,1.4,2.6,0,6.57,1,1,0,1,0.3,0,0.2,0.5,0.2,0.4,0.7,0.9,1,0.3,0,1.1,0.3,0,0
321,Danny Welbeck,13,Arsenal,32," AM(CLR),FW  ",8(8),746,2,0.3,12,83.9,0,0.1,0,6.57,2,0,0,1.2,1.1,0,0.2,0.6,0.1,0.8,1.2,0.5,0.4,0.4,0,0.6,0.1,0.1,0
322,Filip Lesniak,30,Tottenham,26, Midfielder  ,0(1),4,1,1,6,100,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
323,David de Gea,32,Man Utd,32, GK  ,35,3150,0,0,24.3,60,0,9.2,0,6.57,0,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0
324,Rudy Gestede,21,Middlesbrough,34, FW  ,4(12),525,0,0.7,13.6,56.9,0,0.1,0,6.57,1,3,0,1,5.1,0,0.2,0.8,0.2,0.5,0.9,0.4,0.1,0.5,0,0.6,0.2,0.1,0
325,Phil Bardsley,96,Stoke,37," D(LR),M(R)  ",14(1),1171,0,0.6,26.5,73,0.5,2,0,6.57,0,4,1,0.7,0.5,0,0.2,1.1,0,0.3,0.5,2.1,1.8,1.7,0.3,1.8,0.7,0.4,0
326,Dean Marney,184,Burnley,39, M(C)  ,21,1770,2,0.2,34.8,80.3,0,3.3,0,6.57,1,7,0,0.6,0.6,0,0.1,1,0,0.3,0.7,1.7,1.3,1.7,0,1.4,1.6,0.8,0
327,Cuco Martina,18,Southampton,33, D(CLR)  ,6(3),591,0,0.6,34.1,81.4,1,1.6,0,6.57,0,0,0,0.1,0.4,0,0.1,0.6,0.1,0.6,0.6,1.2,1.7,0.4,0.1,1.8,0.2,0.1,0
328,Duncan Watmore,16,Sunderland,29," AM(CLR),FW  ",11(3),1030,2,0.8,13.7,66.7,0.3,0.4,0.1,6.57,0,1,0,1.1,0.6,0,1.8,1.6,0.3,1.9,2.3,0.9,0.6,0.7,0,0.4,0.9,0.1,0
329,Manolo Gabbiadini,18,Southampton,31," AM(CLR),FW  ",10(1),731,0,0.5,10.6,70.1,0.1,0.1,0,6.56,4,1,0,2.6,0.8,1,0.2,0.9,0.9,0.5,1,0.2,0.3,0.7,0,0.9,0.2,0,0
330,Fabian Delph,167,Man City,33," D(L),M(CL)  ",2(5),220,0,0.3,32.1,93.3,0,0.4,0,6.56,1,1,0,0.9,0.6,0,0.3,0.7,0,0.3,0.4,1,1,0.9,0,0.6,0.4,0.1,0
331,Modou Barrow,259,Swansea,30," AM(LR),FW  ",12(6),1149,2,1.2,16.6,75.3,1,0.1,0,6.56,0,1,0,0.8,0.3,0,1.3,2,0.6,1.5,1.7,1.3,0.3,0.8,0,0.4,0.8,0,0
332,Damien Delaney,162,Crystal Palace,41, D(C)  ,21(9),2009,2,0.2,29.6,71.5,0.1,3.6,0,6.56,0,8,0,0.2,2,0,0,0.4,0,0.1,0.2,0.8,1.2,0.9,0.2,5,0.3,0.7,0
333,Sam Byram,29,West Ham,29," D(CLR),M(R)  ",13(5),1248,1,0.4,24.2,69.9,0.2,1.1,0.1,6.56,0,5,1,0.4,1.3,0,0.2,0.7,0.1,0.4,0.6,1.3,2.3,1.2,0.1,3.3,0.8,0.2,0
334,John O'Shea,16,Sunderland,42, D(C)  ,26(2),2161,1,0,24.5,76.2,0,1.9,0,6.56,0,5,0,0.1,2.1,0,0,0.3,0,0.1,0.2,1,1.4,0.6,0.3,5.4,0.5,0.6,0
335,Mike van der Hoorn,259,Swansea,30, D(C)  ,7(1),661,0,0,40.6,77.2,0,5.1,0,6.55,1,1,0,0.5,3,1,0,1.1,0,0.1,0.1,1.1,2.3,1.5,0.5,6.9,1.1,0.9,0
336,Jay Fulton,259,Swansea,29, M(C)  ,9(2),694,0,0.3,29.4,82.4,0,1.3,0.1,6.55,0,2,0,0.3,1.5,0,0.1,1,0,0.8,0.5,2.8,0.6,1,0,1.4,0.9,0.4,0
337,Scott Arfield,184,Burnley,34, M(CLR)  ,23(8),2107,0,1.1,20,68.9,1,0.7,0,6.55,1,3,0,1.4,0.7,0,0.5,0.5,0.1,0.9,1.1,1.2,1.1,1.2,0,0.9,1.6,0.2,0
338,Valon Behrami,27,Watford,38, M(C)  ,26(1),2038,0,0.2,27.1,80.1,0,1,0,6.55,0,7,0,0.2,0.7,0,0.2,1.5,0,0.5,0.8,2.7,1.2,1.1,0.1,0.8,1.6,0.4,0
339,Adam Federici,183,Bournemouth,38, GK  ,2,180,0,0,27,53.7,0,8,0,6.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
340,Daryl Janmaat,27,Watford,33," D(CR),M(R)  ",18(9),1613,1,0.5,22.4,73.8,0.5,1.6,0,6.55,2,2,0,1,0.8,0,0.6,0.1,0.2,0.6,1,1.7,0.7,0.6,0.2,1.3,0.7,0.1,0
341,Sofiane Feghouli,29,West Ham,33, M(CR)  ,11(10),1040,3,0.9,18,71.4,0.9,1.2,0,6.55,3,1,1,1,0.4,0,0.8,0.9,0,0.6,1,0.9,0.7,0.5,0,0.4,0.2,0,0
342,James McClean,175,West Brom,34," D(L),M(CLR),FW  ",13(21),1467,2,0.6,10.3,71.3,0.7,0.1,0,6.55,1,9,0,0.7,0.9,0,0.6,0.5,0.2,0.9,0.6,1.6,0.5,0.9,0,0.6,0.9,0.1,0
343,Shaun Maloney,214,Hull,40, AM(CLR)  ,2(7),279,2,0.4,12.3,85.6,0.4,0.2,0,6.55,1,0,0,0.3,0.1,0,0.7,0.8,0,0.4,0.1,0.9,0,0.3,0,0.2,0.3,0.1,0
344,Branislav Ivanovic,15,Chelsea,39, D(CR)  ,6(7),584,0,0.2,25.3,83,0.2,2.1,0,6.54,0,2,0,0.5,1.5,0,0.5,0.6,0.2,0.1,0.6,0.8,0.8,0.6,0.1,1.8,0.2,0.2,0
345,Enner Valencia,31,Everton,33," AM(LR),FW  ",5(16),708,1,0.3,9.4,79.3,0,0.4,0,6.53,3,1,0,1.1,0.8,0,0.9,0.7,0.2,0.7,1.5,0.7,0.3,0.8,0,0.4,0.7,0,0
346,Jason Denayer,16,Sunderland,27," D(CR),DMC  ",22(2),1880,0,0.1,24.4,80,0,1.7,0,6.53,0,2,0,0.3,1.1,0,0.2,0.3,0,0.4,0.5,1.5,1.4,0.7,0.2,3.3,0.7,0.8,1
347,Mohamed Elneny,13,Arsenal,30, DMC  ,8(6),694,1,0.3,44,92.9,0.1,1.5,0,6.53,0,1,0,1.1,0.4,0,0.2,0.4,0,0.4,0,1.6,0.5,0.7,0,0.4,0.5,0,0
348,Adlène Guédioura,27,Watford,37, M(C)  ,9(3),723,1,0.6,29.5,76,0.7,2.3,0,6.53,0,2,0,1.1,1.5,0,1.1,0.7,0.1,1.3,1.2,1.7,0.8,1.7,0,0.7,1.2,0.1,0
