,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Rodrygo,1241,Santos FC,22," AM(CLR),FW  ",4,360,2,1.8,33.5,82.8,0.3,2.3,0,7.86,1,1,0,4,0.5,1,3.5,2,0.3,0.8,1,1.8,0.8,2,0,0,1,0,0
1,Giorgian de Arrascaeta,1239,Flamengo,28," AM(CLR),FW  ",22(1),1829,14,2.5,43.4,77.9,0.9,2,0.3,7.82,13,1,0,2,0.5,6,2.2,2.2,0,2,2.1,1.9,0.4,1.1,0,0.2,1.3,0,0
2,Gabriel Barbosa,1239,Flamengo,26," AM(LR),FW  ",29,2547,8,1,25,80.6,0.2,0.8,0,7.55,25,11,1,4,0.2,3,1.3,1,0.6,0.8,1.6,0.6,0.1,0.7,0,0,0.7,0,0
3,Dudu,1234,Palmeiras,31," AM(CLR),FW  ",34(2),3070,11,2.5,27.8,78.4,1.9,1.1,0.1,7.50,9,5,0,2.6,0.3,7,2.4,3.8,0.2,1.4,2.7,0.4,0.3,1.1,0,0.1,0.6,0,0
4,Lucas Piton,1237,Corinthians,22," D(L),M(L)  ",0(1),45,1,1,26,84.6,1,0,0,7.47,0,0,0,1,1,0,0,0,0,0,0,4,1,1,0,0,1,0,0
5,Alisson,1244,Gremio,29, AM(CLR)  ,22,1738,6,2.5,43,85.7,1.7,1,0,7.45,4,5,0,1.8,2.2,3,1.2,2.4,0,1.1,0.8,0.8,0.8,1.1,0,0.8,0.7,0.1,0
6,Bruno Henrique,1239,Flamengo,32," AM(CLR),FW  ",29(4),2573,4,1.2,22.1,75.5,0.1,0.3,0.1,7.44,21,9,0,3,2.9,6,1.4,2.2,0.3,1.8,3,0.9,0.3,1.8,0,0.8,0.9,0.1,0
7,Jean Pyerre,1244,Gremio,25, AM(C)  ,10,813,2,1.3,64.4,92.4,1.1,4.2,0.4,7.37,3,0,0,1.9,0.4,2,2.2,1,0,0.9,1.5,0.7,0.6,0.7,0,0.1,0.8,0.1,0
8,Marcelo Rangel,1218,Goias,35, GK  ,1,90,0,0,12,75,0,5,0,7.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Yeferson Soteldo,1241,Santos FC,25," AM(CL),FW  ",31(1),2698,5,1.7,22,77.1,0.4,0.6,0,7.35,9,10,1,2.1,0.3,2,3.8,1.5,0.7,1.6,2.2,0.9,0.3,0.8,0,0.1,0.9,0,0
10,Walter,1237,Corinthians,35, GK  ,6,540,0,0,28.7,68,0,6.5,0,7.34,0,0,0,0,0,2,0,0.2,0,0,0,0,0,0,0,0.8,0.2,0,0
11,Dani Alves,1224,Sao Paulo,40," D(R),M(CR)  ",20,1756,3,3.1,65.4,83.6,2.5,2.2,0.1,7.33,2,4,0,1.5,1.1,2,1.8,2.3,0.3,1.8,1.7,2.6,0.5,2.8,0.1,0.6,1.4,0.1,0
12,Éverton,1244,Gremio,27," AM(CLR),FW  ",23(7),2277,5,0.9,26.4,82.4,0.2,0.9,0.1,7.33,11,3,0,2.8,0.7,6,3.1,1.2,0.1,2.4,1.6,1,0.5,0.6,0,0,0.8,0.1,0
13,Danilo Fernandes,1219,Internacional,35, GK  ,4(1),394,0,0,17.8,61.8,0,3.4,0,7.33,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0
14,Marcos Rocha,1234,Palmeiras,34," D(R),M(R)  ",29(1),2615,3,1.8,46.6,76.2,0.7,4.4,0,7.31,2,4,0,0.5,1.2,4,0.7,1.4,0.1,0.4,0.5,3.9,1.7,1.6,0,1.8,1.5,0.1,0
15,Jorge,1241,Santos FC,27," D(L),M(L)  ",28(1),2558,4,1,38.6,80.4,0.3,1.4,0,7.29,1,4,0,1.2,2.1,3,1.7,1.6,0.1,0.7,1.4,2,2,1.1,0.1,1.3,0.8,0.2,0
16,Víctor Cuesta,1219,Internacional,34, D(C)  ,30(1),2712,1,0.3,47.3,86.3,0.1,3.3,0,7.27,1,8,0,0.6,3.1,3,1.4,1.3,0,0.3,0.8,2.4,2.1,1.3,0.3,3.3,0.6,0.7,0
17,Marco Antonio,1221,Bahia,25, Midfielder  ,3(3),345,1,1.5,19.7,80.5,1.5,1.3,0.2,7.26,1,0,0,1,0.2,1,2.2,2,0.2,0.3,1.3,2,0.2,0.5,0,0,1,0,0
18,Pedrinho,1237,Corinthians,25, AM(CR)  ,26(2),2181,4,2,36.1,83.4,0.8,1.3,0,7.24,5,0,0,2.6,0.7,4,2.4,1.8,0.1,1.8,1.8,0.9,0.6,0.5,0,0.1,0.8,0,0
19,Paolo Guerrero,1219,Internacional,39, FW  ,23(1),2014,1,1.3,25.5,75.5,0,0.4,0.1,7.24,10,3,1,3.4,4.2,4,1,1.8,0.4,1.3,2.7,0.5,0,1.6,0.1,1,0.4,0.1,0
20,Lucas Veríssimo,1241,Santos FC,27, D(CR)  ,33,2887,1,0.2,62.5,86.7,0,1.8,0,7.24,2,8,2,0.9,4.7,2,0.7,0.5,0,0.2,0.5,1.9,2.2,2,0.6,4.5,0.6,0.5,1
21,Nikão,1243,Athletico Paranaense,30," AM(CLR),FW  ",20(3),1706,2,1.6,33.4,83.9,1,3,0,7.23,5,3,0,3,1.2,1,1.3,1,0.1,1.3,1.7,1.3,0.6,1,0,0.6,0.6,0,0
