Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
1,Adriano,br BRA,"MF,DF",Eupen,35,1984,24,22,1772,19.7,0,4,4,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,Matches,2020-2021,Belgium,19,3,15.8,0.97,0.15,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,29,,,,,,,,,,,,,,,,,0,25,1,54,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,57.9,78,10,2,33,0,1.42,32,26,+6,+0.30,+1.49
2,Emmanuel Agbadou,ci CIV,"DF,MF",Eupen,23,1997,23,23,1984,22.0,1,0,1,1,0,0,4,2,0.05,0.00,0.05,0.05,0.05,Matches,2020-2021,Belgium,11,2,18.2,0.50,0.09,0.09,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,61,,,,,,,,,,,,,,,,,1,35,2,9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,64.8,86,21,0,,2,1.26,30,36,-6,-0.27,+0.15
3,Saad Agouzoul,ma MAR,DF,Excel Mouscron,22,1997,33,33,2970,33.0,1,1,2,1,0,0,8,0,0.03,0.03,0.06,0.03,0.06,Matches,2020-2021,Belgium,15,4,26.7,0.45,0.12,0.07,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,50,,,,,,,,,,,,,,,,,0,35,2,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,97.1,90,33,0,,0,0.94,32,53,-21,-0.64,+0.36
4,Yannick Aguemon,bj BEN,"MF,DF",OH Leuven,28,1992,6,2,229,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021,Belgium,3,1,33.3,1.18,0.39,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,0,1,0,13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,7.5,79,0,4,18,0,0.83,4,4,0,0.00,+0.16
5,Reda Akbib,be BEL,DF,Charleroi,19,2001,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021,Belgium,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.1,,0,1,4,1,0.00,0,0,0,0.00,+0.09
6,Alessandro Albanese,be BEL,"MF,FW",Waasland-Bev,20,2000,23,16,1240,13.8,1,6,7,1,0,0,5,0,0.07,0.44,0.51,0.07,0.51,Matches,2020-2021,Belgium,13,6,46.2,0.94,0.44,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,8,,,,,,,,,,,,,,,,,0,4,3,27,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,40.5,68,3,7,21,5,0.74,15,31,-16,-1.16,-0.67
7,Arthur Allemeersch,be BEL,FW,OH Leuven,19,2001,2,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021,Belgium,1,1,100.0,1.34,1.34,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,0,2,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2.2,66,0,1,1,4,1.00,1,1,0,0.00,+0.15
8,Éder Álvarez Balanta,co COL,MF,Club Brugge,27,1993,21,10,909,10.1,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,2020-2021,Belgium,8,2,25.0,0.79,0.20,0.13,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,16,,,,,,,,,,,,,,,,,0,21,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,29.7,74,5,11,16,7,2.20,15,3,+12,+1.19,-0.15
9,Selim Amallah,ma MAR,"MF,FW",Standard Liège,23,1996,24,21,1845,20.5,9,3,12,7,2,2,7,1,0.44,0.15,0.59,0.34,0.49,Matches,2020-2021,Belgium,66,23,34.8,3.22,1.12,0.11,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,25,,,,,,,,,,,,,,,,,1,48,3,29,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,60.3,84,11,3,30,0,1.59,33,23,+10,+0.49,+1.15
10,Jordi Amat,id IDN,DF,Eupen,28,1992,29,26,2318,25.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021,Belgium,6,3,50.0,0.23,0.12,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,30,,,,,,,,,,,,,,,,,0,22,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,75.8,86,23,3,27,0,1.31,34,43,-9,-0.35,-0.11
