Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
1,Elton Acolatse,nl NED,"MF,FW",Sint-Truiden,24,1995,18,10,872,9.7,0,2,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,33.4,73,2,8,18,3,1.22,8,20,-12,-1.24,-0.98
2,Luka Adžić,rs SRB,FW,Anderlecht,20,1998,5,1,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.9,54,0,4,25,6,1.00,0,1,-1,-0.59,-1.21
3,Thomas Agyepong,gh GHA,"MF,FW",Waasland-Bev,22,1996,14,5,551,6.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,21.1,64,0,9,26,1,0.57,4,11,-7,-1.14,+0.26
4,Joseph Akpala,ng NGA,FW,Oostende,32,1986,6,5,394,4.4,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,15.1,73,1,1,29,0,1.00,5,5,0,0.00,+1.18
5,Nana Akwasi Asare,gh GHA,DF,Gent,33,1986,12,12,1080,12.0,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,41.4,90,12,0,,10,1.75,28,17,+11,+0.92,+0.09
6,Sami Allagui,tn TUN,FW,Excel Mouscron,33,1986,12,10,767,8.5,2,1,3,1,1,2,2,0,0.23,0.12,0.35,0.12,0.23,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,29.4,76,2,2,3,4,1.67,13,8,+5,+0.59,+0.93
7,Éder Álvarez Balanta,co COL,MF,Club Brugge,26,1993,16,13,1223,13.6,2,1,3,2,0,0,6,0,0.15,0.07,0.22,0.15,0.22,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,46.9,88,12,3,27,4,2.31,21,10,+11,+0.81,-1.33
8,Selim Amallah,ma MAR,MF,Standard Liège,22,1996,25,21,1730,19.2,7,5,12,7,0,0,7,0,0.36,0.26,0.62,0.36,0.62,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,66.3,80,11,4,11,0,1.84,34,22,+12,+0.62,+0.32
9,Jordi Amat,id IDN,"DF,MF",Eupen,27,1992,24,23,2013,22.4,2,0,2,2,0,0,6,2,0.09,0.00,0.09,0.09,0.09,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,77.1,86,20,1,33,1,1.00,22,33,-11,-0.49,+1.32
10,Michael Amir Murillo,pa PAN,DF,Anderlecht,23,1996,8,8,720,8.0,1,2,3,1,0,0,2,0,0.12,0.25,0.37,0.12,0.37,Matches,2019-2020,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,27.6,90,8,0,,0,2.00,21,7,+14,+1.75,+1.65
