Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,9,17,31,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,2017-2018,Italy,3,0,0.0,0.52,0.00,0.00,,17.4,0,0.05,-0.2,-0.2,87,120,72.5,1174,325,50,60,83.3,25,35,71.4,4,8,50.0,0.1,-0.2,3,8,7,1,5,0.87,4,1,0,0,0,0,0.00,0,0,0,0,0,0,13,8,4,4,5,1,14.3,6,3,2,2,15,0,0,166,3,7,166,8,53.3,7,46.7,105,2,9,13,125,0,9,0,10,0,0,0,19,9,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,4,0,0,0,47,15.1,,1,5,,4,0.55,2,12,-10,-1.74,-0.56,2.7,10.0,-7.3,-1.26,-0.34
2,Ignazio Abate,it ITA,DF,Milan,30,1986,17,11,1057,11.7,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.7,20,81,65,0.09,0.00,0.09,0.09,0.09,0.01,0.04,0.06,0.01,0.06,Matches,2017-2018,Italy,4,2,50.0,0.34,0.17,0.25,0.50,17.1,0,0.04,+0.8,+0.8,625,776,80.5,10991,4535,273,294,92.9,287,333,86.2,58,120,48.3,0.8,-0.5,10,55,20,7,27,2.30,24,1,0,0,0,4,0.34,3,0,0,1,0,0,20,17,10,9,1,6,54.5,5,22,20,8,28,29,0,864,35,8,864,0,0.0,1,100.0,386,0,7,6,563,0,12,3,31,0,0,0,56,5,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0,2,112,0,0,0,62,30.9,,7,6,,15,1.71,17,10,+7,+0.60,+0.33,13.8,11.4,+2.5,+0.21,-0.24
3,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38,38,3420,38.0,0,0,0,0,0,0,4,0,1.0,1.0,0.7,1.7,35,141,14,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches,2017-2018,Italy,15,2,13.3,0.39,0.05,0.00,0.00,18.0,0,0.07,-1.0,-1.0,1391,1650,84.3,30718,10405,349,387,90.2,782,876,89.3,249,360,69.2,0.8,-0.7,10,106,2,1,30,0.79,28,0,0,1,0,0,0.00,0,0,0,0,0,0,51,32,26,22,3,22,61.1,14,42,21,88,139,255,1,2124,299,21,2124,17,73.9,6,26.1,918,0,26,9,1044,0,31,1,12,0,1,1,260,103,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,2,24,28,0,0,0,90,100.0,,38,0,,0,1.13,29,59,-30,-0.79,,46.3,48.9,-2.6,-0.07,
4,Afriyie Acquah,gh GHA,MF,Torino,25,1992,22,9,951,10.6,1,0,1,1,0,0,4,2,0.4,0.4,0.6,1.0,24,60,24,0.09,0.00,0.09,0.09,0.09,0.04,0.06,0.10,0.04,0.10,Matches,2017-2018,Italy,9,3,33.3,0.85,0.28,0.11,0.33,24.2,0,0.04,+0.6,+0.6,405,478,84.7,6431,1627,204,220,92.7,166,189,87.8,23,40,57.5,0.2,-0.6,6,38,2,0,17,1.63,13,0,1,2,0,0,0.00,0,0,0,0,0,0,8,6,2,6,0,1,14.3,6,8,7,16,24,10,2,562,8,7,562,16,66.7,8,33.3,392,2,13,14,413,1,17,0,12,0,0,0,68,12,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,0,0,0,0,43,27.8,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,9.8,15.4,-5.6,-0.53,-0.70
5,Claud Adjapong,it ITA,"DF,FW",Sassuolo,19,1998,16,14,1220,13.6,0,0,0,0,0,0,5,1,0.8,0.8,1.1,1.9,31,42,54,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches,2017-2018,Italy,14,4,28.6,1.03,0.30,0.00,0.00,20.7,0,0.06,-0.8,-0.8,363,509,71.3,5921,2319,167,197,84.8,166,227,73.1,21,53,39.6,0.9,-1.1,11,28,5,2,25,1.84,17,0,1,3,2,2,0.15,1,0,0,0,1,0,35,26,24,5,6,11,84.6,2,16,13,23,58,37,0,691,38,26,691,9,47.4,10,52.6,344,10,23,24,365,0,24,2,27,0,0,0,80,15,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,3,2,63,0,0,0,76,35.7,,12,2,,8,1.31,13,22,-9,-0.66,+0.20,15.9,16.7,-0.8,-0.06,+0.02
6,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,23,1993,23,18,1674,18.6,0,1,1,0,0,0,4,0,0.5,0.5,1.7,2.2,25,58,56,0.00,0.05,0.05,0.00,0.05,0.03,0.09,0.12,0.03,0.12,Matches,2017-2018,Italy,12,3,25.0,0.65,0.16,0.00,0.00,27.6,5,0.04,-0.5,-0.5,585,883,66.3,10724,4935,245,305,80.3,247,358,69.0,79,171,46.2,1.2,-0.7,20,38,14,9,38,2.05,31,5,1,1,0,4,0.22,3,0,0,0,1,0,54,35,35,14,5,29,58.0,21,31,25,41,95,90,0,1142,94,6,1142,25,75.8,8,24.2,472,2,19,15,538,0,21,1,88,0,0,1,94,51,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,0,3,173,6,12,0,73,48.9,,14,5,,7,1.17,28,29,-1,-0.05,+0.67,21.3,24.0,-2.6,-0.14,+0.04
7,Arlind Ajeti,al ALB,DF,Crotone,23,1993,21,15,1271,14.1,0,1,1,0,0,0,7,0,0.9,0.9,1.0,1.9,2,20,0,0.00,0.07,0.07,0.00,0.07,0.07,0.07,0.14,0.07,0.14,Matches,2017-2018,Italy,8,0,0.0,0.57,0.00,0.00,,19.5,0,0.12,-0.9,-0.9,282,362,77.9,5865,2708,89,104,85.6,140,165,84.8,51,84,60.7,0.9,0.0,4,16,1,0,14,0.99,9,0,0,1,3,2,0.14,1,0,0,1,0,0,42,23,25,14,3,18,60.0,12,27,12,34,76,82,0,553,108,9,553,5,83.3,1,16.7,236,0,6,4,203,0,19,0,0,0,1,0,75,20,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,2,0,0,0,0,61,37.2,,11,6,,15,0.95,12,28,-16,-1.13,-0.71,12.6,27.4,-14.8,-1.05,-0.67
8,Luis Alberto,es ESP,"FW,MF",Lazio,24,1992,34,32,2669,29.7,11,14,25,10,1,2,5,0,7.2,5.7,11.8,17.4,126,272,179,0.37,0.47,0.84,0.34,0.81,0.24,0.40,0.64,0.19,0.59,Matches,2017-2018,Italy,79,23,29.1,2.66,0.78,0.13,0.43,22.3,9,0.07,+3.8,+4.3,1362,1859,73.3,22346,8091,705,813,86.7,420,562,74.7,157,325,48.3,10.4,+2.2,89,201,81,7,183,6.18,112,50,12,2,0,25,0.84,13,8,3,0,1,0,39,28,8,23,8,10,22.7,34,30,28,16,55,7,0,2136,7,67,2134,59,68.6,27,31.4,1461,20,56,54,1567,0,19,3,213,1,0,0,145,13,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,38,15,26,68,69,9,79,78.0,,19,2,,1,1.91,73,41,+32,+1.08,+0.12,51.3,32.6,+18.7,+0.63,+0.49
9,Raúl Albiol,es ESP,DF,Napoli,31,1985,31,30,2742,30.5,3,1,4,3,0,0,7,0,1.4,1.4,1.3,2.6,27,231,4,0.10,0.03,0.13,0.10,0.13,0.04,0.04,0.09,0.04,0.09,Matches,2017-2018,Italy,17,7,41.2,0.56,0.23,0.18,0.43,11.1,0,0.08,+1.6,+1.6,2241,2510,89.3,46557,17325,726,774,93.8,1055,1153,91.5,418,517,80.9,1.1,-0.3,7,186,4,0,24,0.79,23,0,0,0,0,3,0.10,2,0,0,1,0,0,29,19,15,14,0,13,68.4,6,18,5,32,61,129,1,2760,149,28,2760,2,40.0,3,60.0,1838,0,6,3,2036,0,28,2,3,0,0,0,216,92,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,63,1,0,0,0,88,80.2,,29,1,,5,2.26,58,21,+37,+1.21,-0.25,52.8,21.4,+31.4,+1.03,-0.11
10,Alisson,br BRA,GK,Roma,24,1992,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,1090,1323,82.4,31865,23250,127,127,100.0,518,525,98.7,443,667,66.4,0.0,0.0,1,15,0,0,5,0.14,4,1,0,0,0,1,0.03,1,0,0,0,0,0,1,0,1,0,0,0,0.0,1,0,0,2,3,22,4,1405,1143,0,1405,6,100.0,0,0.0,677,0,3,0,646,0,1,0,0,0,0,0,69,7,100.0,28,0.76,135,105,81.5,22,8,7,17,45.9,3,2,0,40.0,2,35.4,0.23,+7.4,+0.20,239,28.9,32.1,42.5,41.0,469,17,3.6,90,2.43,18.9,333,0,7,0,0,0,0,90,97.4,,37,0,,0,2.00,60,28,+32,+0.86,-0.14,62.2,36.1,+26.2,+0.71,+0.70
