Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
212,Gustav Engvall,se SWE,FW,Bristol City,21,1996,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.4,,0,2,,3,1.50,0,1,-1,-6.00,-6.22
213,Bright Enobakhare,ng NGA,"FW,MF",Wolves,19,1998,21,5,651,7.2,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches,2017-2018,England2,14,4,28.6,1.94,0.55,0.07,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,3,,,,,,,,,,,,,,,,,0,16,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,15.7,,0,16,,10,2.14,11,8,+3,+0.41,-0.62
214,Neil Etheridge,ph PHI,GK,Cardiff City,27,1990,45,45,4050,45.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,37,0.82,185,148,81.6,27,9,9,19,42.2,3,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,90,97.8,,45,0,,1,2.00,68,37,+31,+0.69,+1.69
215,Ched Evans,wls WAL,FW,Sheffield Utd,28,1988,9,2,312,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,8,2,25.0,2.31,0.58,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,0,10,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7.5,,1,7,,6,1.44,1,3,-2,-0.58,-0.79
216,George Evans,eng ENG,MF,Reading,22,1994,18,9,881,9.8,1,0,1,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,2017-2018,England2,5,1,20.0,0.51,0.10,0.20,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,18,,,,,,,,,,,,,,,,,0,15,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,21.3,,4,9,,8,1.17,5,14,-9,-0.92,-0.56
217,Lee Evans,wls WAL,MF,Sheffield Utd,23,1994,19,18,1532,17.0,2,1,3,2,0,0,6,0,0.12,0.06,0.18,0.12,0.18,Matches,2017-2018,England2,32,5,15.6,1.88,0.29,0.06,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,23,,,,,,,,,,,,,,,,,0,22,0,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,37.0,,11,1,,1,1.37,20,20,0,0.00,-0.24
218,Eberechi Eze,eng ENG,"MF,FW",QPR,19,1998,16,8,850,9.4,2,0,2,2,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,2017-2018,England2,20,7,35.0,2.12,0.74,0.10,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,,0,9,1,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,20.5,,3,8,,4,1.06,17,15,+2,+0.21,+0.59
219,Fábio,br BRA,DF,Middlesbrough,27,1990,22,18,1493,16.6,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches,2017-2018,England2,16,5,31.3,0.96,0.30,0.06,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,32,,,,,,,,,,,,,,,,,0,27,2,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,36.1,,12,4,,8,1.63,21,17,+4,+0.24,-0.37
220,Liam Feeney,eng ENG,FW,Cardiff City,31,1986,15,4,450,5.0,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,2017-2018,England2,4,3,75.0,0.80,0.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,0,7,2,46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10.9,,0,11,,11,1.47,10,5,+5,+1.00,+0.39
221,Shane Ferguson,nir NIR,MF,Millwall,26,1991,24,9,957,10.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,7,2,28.6,0.66,0.19,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,6,,,,,,,,,,,,,,,,,0,5,1,106,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,23.1,,3,15,,0,1.33,13,10,+3,+0.28,+0.06
222,Frank Fielding,eng ENG,GK,Bristol City,29,1988,43,43,3798,42.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,1,50,1.18,144,94,66.0,16,15,11,13,30.2,1,1,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,88,91.7,,41,0,,0,1.49,65,50,+15,+0.36,+1.93
223,Tobias Figueiredo,pt POR,DF,Nott'ham Forest,23,1994,12,12,1049,11.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,6,1,16.7,0.51,0.09,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,26,,,,,,,,,,,,,,,,,0,13,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,25.3,,11,0,,2,1.17,11,11,0,0.00,+0.41
224,Darnell Fisher,eng ENG,DF,Preston,23,1994,34,34,2920,32.4,0,1,1,0,0,0,14,0,0.00,0.03,0.03,0.00,0.03,Matches,2017-2018,England2,8,3,37.5,0.25,0.09,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,63,,,,,,,,,,,,,,,,,0,54,2,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,70.5,,30,0,,0,1.62,39,29,+10,+0.31,+0.23
225,Jon Flanagan,eng ENG,DF,Bolton,24,1993,9,8,691,7.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,2,1,50.0,0.26,0.13,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,16,,,,,,,,,,,,,,,,,0,11,0,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,16.7,,6,1,,3,0.67,3,13,-10,-1.30,-0.65
226,Tom Flanagan,nir NIR,"DF,MF",Burton Albion,25,1992,27,20,1891,21.0,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,2017-2018,England2,12,3,25.0,0.57,0.14,0.17,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,44,,,,,,,,,,,,,,,,,0,23,0,29,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,45.7,,15,7,,10,0.63,15,41,-26,-1.24,-0.56
227,John Fleck,sct SCO,MF,Sheffield Utd,25,1991,41,41,3659,40.7,2,7,9,2,0,0,14,1,0.05,0.17,0.22,0.05,0.22,Matches,2017-2018,England2,65,24,36.9,1.60,0.59,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,53,,,,,,,,,,,,,,,,,0,42,2,211,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,88.4,,40,0,,0,1.51,55,49,+6,+0.15,-0.04
228,Ashley Fletcher,eng ENG,"FW,MF",Middlesbrough,21,1995,16,3,454,5.0,1,1,2,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,Matches,2017-2018,England2,12,2,16.7,2.38,0.40,0.08,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,0,14,6,6,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,11.0,,1,13,,8,1.38,10,7,+3,+0.59,+0.13
229,Ashley Fletcher,eng ENG,FW,Sunderland,21,1995,16,15,1328,14.8,2,2,4,2,0,0,2,0,0.14,0.14,0.27,0.14,0.27,Matches,2017-2018,England2,12,2,16.7,2.38,0.40,0.08,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,0,14,6,6,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,11.0,,1,13,,8,1.38,10,7,+3,+0.59,+0.13
230,Steven Fletcher,sct SCO,FW,Sheffield Weds,30,1987,19,13,1064,11.8,2,1,3,2,0,0,0,0,0.17,0.08,0.25,0.17,0.25,Matches,2017-2018,England2,37,6,16.2,3.13,0.51,0.05,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,9,,,,,,,,,,,,,,,,,0,19,10,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,25.7,,1,6,,1,1.42,16,14,+2,+0.17,+0.26
231,Aden Flint,eng ENG,DF,Bristol City,28,1989,39,38,3429,38.1,8,2,10,8,0,0,6,1,0.21,0.05,0.26,0.21,0.26,Matches,2017-2018,England2,43,16,37.2,1.13,0.42,0.19,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,42,,,,,,,,,,,,,,,,,0,36,7,9,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,82.8,,37,1,,1,1.51,57,51,+6,+0.16,-0.22
232,Ben Folami,au AUS,FW,Ipswich Town,18,1999,4,1,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,,0,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4.3,,0,3,,4,1.75,4,3,+1,+0.50,+0.59
233,Rui Fonte,pt POR,FW,Fulham,27,1990,27,16,1378,15.3,3,2,5,3,0,1,2,0,0.20,0.13,0.33,0.20,0.33,Matches,2017-2018,England2,27,6,22.2,1.76,0.39,0.11,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,4,,,,,,,,,,,,,,,,,0,21,4,17,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,33.3,,4,11,,10,1.78,24,18,+6,+0.39,-0.49
234,Fernando Forestieri,it ITA,"FW,MF",Sheffield Weds,27,1990,10,6,559,6.2,5,0,5,5,0,0,1,0,0.81,0.00,0.81,0.81,0.81,Matches,2017-2018,England2,20,9,45.0,3.22,1.45,0.25,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,4,,,,,,,,,,,,,,,,,0,15,3,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,13.5,,4,4,,1,1.90,13,7,+6,+0.97,+1.14
235,Adam Forshaw,eng ENG,MF,Leeds United,25,1991,12,9,875,9.7,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,2017-2018,England2,6,1,16.7,0.62,0.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,11,,,,,,,,,,,,,,,,,0,16,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,21.1,,8,3,,0,0.83,11,18,-7,-0.72,-0.78
236,Adam Forshaw,eng ENG,MF,Middlesbrough,25,1991,11,5,455,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,6,1,16.7,0.62,0.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,11,,,,,,,,,,,,,,,,,0,16,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,21.1,,8,3,,0,0.83,11,18,-7,-0.72,-0.78
