Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Issah Abbas,gh GHA,"FW,MF",Twente,21,1998,8,0,126,1.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,7,0,16,0.00,0.00,0.00,0.00,0.00,0.30,0.05,0.35,0.30,0.35,Matches,2020-2021,Netherlands,3,1,33.3,2.14,0.71,0.00,0.00,19.9,0,0.14,-0.4,-0.4,22,39,56.4,288,44,14,18,77.8,8,12,66.7,0,6,0.0,0.3,-0.1,1,0,0,0,4,2.83,2,1,0,0,1,0,0.00,0,0,0,0,0,0,2,2,0,0,2,1,33.3,2,2,2,0,2,0,0,57,0,5,57,2,50.0,2,50.0,39,5,5,2,39,0,2,1,6,0,0,0,8,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,3,1,0,0,16,4.1,,0,8,16,9,0.88,1,3,-2,-1.43,-1.43,2.8,2.1,+0.8,+0.55,+0.73
2,Dirk Abels,nl NED,DF,Sparta R'dam,23,1997,31,28,2507,27.9,1,3,4,1,0,0,3,0,0.2,0.2,2.2,2.4,22,140,83,0.04,0.11,0.14,0.04,0.14,0.01,0.08,0.09,0.01,0.09,Matches,2020-2021,Netherlands,7,1,14.3,0.25,0.04,0.14,1.00,24.9,0,0.03,+0.8,+0.8,1082,1471,73.6,19438,9992,489,560,87.3,465,610,76.2,112,235,47.7,2.2,+0.8,30,137,23,11,56,2.01,48,4,0,2,2,6,0.22,5,0,0,0,0,1,65,34,40,19,6,46,56.1,36,35,23,55,120,82,0,1770,109,12,1770,7,50.0,7,50.0,710,3,17,8,858,0,16,0,39,0,0,0,151,34,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,0,12,283,0,0,0,81,81.9,86,24,3,29,3,1.41,44,32,+12,+0.43,+2.22,40.3,36.3,+4.0,+0.14,+1.30
3,Nassim El Ablak,nl NED,"MF,FW",Fortuna Sittard,20,2000,3,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.54,0.00,0.54,Matches,2020-2021,Netherlands,0,0,,0.00,0.00,,,,0,,0.0,0.0,8,15,53.3,149,107,2,3,66.7,5,7,71.4,1,4,25.0,0.1,-0.1,1,2,1,0,1,4.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,0,20,2,0,20,0,,0,,7,0,1,0,9,0,1,0,0,0,0,0,3,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,7,0.7,,0,3,7,24,2.33,0,1,-1,-4.50,-4.29,0.2,0.8,-0.6,-2.56,-2.17
4,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,20,2000,24,6,742,8.2,4,0,4,4,0,0,2,0,3.3,3.3,0.7,4.0,23,14,70,0.49,0.00,0.49,0.49,0.49,0.40,0.08,0.48,0.40,0.48,Matches,2020-2021,Netherlands,30,7,23.3,3.64,0.85,0.13,0.57,15.0,0,0.11,+0.7,+0.7,117,165,70.9,1488,324,79,97,81.4,28,40,70.0,4,11,36.4,0.3,-0.7,7,5,5,0,29,3.52,13,0,8,5,0,3,0.36,2,0,0,0,1,0,9,6,6,2,1,2,16.7,10,10,10,3,12,4,0,301,10,49,301,20,48.8,21,51.2,180,10,29,14,201,0,19,4,7,0,0,1,28,6,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,0,31,24.2,77,1,18,16,9,2.08,25,12,+13,+1.58,+0.76,17.6,8.8,+8.7,+1.06,+0.12
5,Paulos Abraham,se SWE,"FW,MF",Groningen,18,2002,13,2,360,4.0,2,0,2,2,0,0,0,0,2.1,2.1,0.2,2.2,3,4,35,0.50,0.00,0.50,0.50,0.50,0.51,0.04,0.55,0.51,0.55,Matches,2020-2021,Netherlands,11,3,27.3,2.75,0.75,0.18,0.67,11.0,0,0.19,-0.1,-0.1,51,84,60.7,600,173,30,44,68.2,14,23,60.9,0,2,0.0,0.1,-0.2,4,4,0,0,7,1.75,6,0,0,1,0,0,0.00,0,0,0,0,0,0,10,5,2,4,4,4,44.4,5,4,4,0,10,3,0,146,2,26,146,6,66.7,3,33.3,84,4,17,10,104,0,5,4,1,0,0,0,14,3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,28,11.8,56,0,11,23,1,0.93,4,4,0,0.00,-0.10,6.2,6.9,-0.7,-0.17,-0.01
6,Bobby Adekanye,nl NED,"FW,MF",ADO Den Haag,21,1999,14,11,741,8.2,2,0,2,2,0,0,1,0,1.2,1.2,0.3,1.5,21,12,49,0.24,0.00,0.24,0.24,0.24,0.15,0.04,0.19,0.15,0.19,Matches,2020-2021,Netherlands,12,6,50.0,1.46,0.73,0.17,0.33,18.4,0,0.10,+0.8,+0.8,124,159,78.0,1711,374,81,92,88.0,33,45,73.3,6,11,54.5,0.5,-0.3,2,8,5,0,12,1.46,9,0,1,2,0,2,0.24,1,0,1,0,0,0,9,5,5,3,1,4,40.0,6,7,7,2,11,7,0,277,10,19,277,8,38.1,13,61.9,192,5,34,21,190,0,10,1,7,0,1,0,42,6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,0,0,0,53,24.2,58,0,3,35,0,0.71,7,19,-12,-1.46,-0.10,6.6,17.0,-10.4,-1.27,+0.22
7,Shawn Adewoye,be BEL,DF,RKC Waalwijk,20,2000,3,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021,Netherlands,0,0,,0.00,0.00,,,,0,,0.0,0.0,47,50,94.0,992,227,12,12,100.0,30,31,96.8,5,7,71.4,0.0,0.0,0,2,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,2,2,6,0,62,10,0,62,0,,0,,42,0,2,0,44,0,0,0,0,0,0,0,4,1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,42,4.1,90,1,2,18,6,1.00,0,4,-4,-2.88,-2.33,0.2,2.3,-2.1,-1.52,-0.55
8,Luka Adžić,rs SRB,FW,Emmen,21,1998,12,12,807,9.0,3,0,3,3,0,0,0,0,4.0,4.0,0.3,4.3,26,10,69,0.33,0.00,0.33,0.33,0.33,0.45,0.03,0.48,0.45,0.48,Matches,2020-2021,Netherlands,27,9,33.3,3.01,1.00,0.11,0.33,16.0,2,0.15,-1.0,-1.0,193,250,77.2,2744,460,114,129,88.4,60,74,81.1,10,20,50.0,0.6,-0.3,4,9,4,3,14,1.56,9,0,2,0,0,1,0.11,0,0,0,1,0,0,11,6,5,5,1,5,26.3,14,7,7,6,17,6,0,378,7,33,378,18,50.0,18,50.0,234,13,24,13,281,0,10,2,20,0,0,0,41,7,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,2,3,2,1,0,67,26.4,67,0,0,,0,2.00,15,9,+6,+0.67,+2.03,16.5,8.6,+7.9,+0.88,+1.63
9,Rohat Agca,nl NED,MF,Heracles Almelo,18,2001,4,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,2020-2021,Netherlands,1,0,0.0,1.67,0.00,0.00,,33.2,0,0.02,0.0,0.0,23,27,85.2,372,39,11,14,78.6,10,11,90.9,1,1,100.0,0.0,0.0,0,0,0,0,1,1.38,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2,2,1,0,1,0,0.0,1,3,2,0,2,0,0,35,2,0,35,2,100.0,0,0.0,25,0,1,2,24,0,1,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,14,1.8,,0,4,14,11,1.50,0,5,-5,-8.33,-8.15,0.7,3.3,-2.6,-3.59,-3.58
10,Hamdi Akujobi,nl NED,"DF,MF",Heerenveen,20,2000,6,3,339,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,11,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021,Netherlands,1,1,100.0,0.27,0.27,0.00,0.00,26.8,0,0.03,0.0,0.0,162,198,81.8,2829,694,70,74,94.6,70,83,84.3,15,31,48.4,0.4,-0.1,2,8,3,3,3,0.80,1,0,0,1,1,1,0.27,0,0,0,0,1,0,11,8,5,5,1,5,100.0,0,11,6,7,18,10,0,248,14,0,248,3,42.9,4,57.1,123,0,6,0,119,0,5,0,7,0,0,0,27,3,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,2,31,0,0,0,57,11.1,90,3,3,23,22,1.17,4,7,-3,-0.80,-0.70,5.2,4.5,+0.7,+0.20,+0.52
