Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches,2018-2019,France,0,0,,0.00,0.00,,,,0,,0.0,0.0,73,120,60.8,1324,635,32,43,74.4,31,51,60.8,9,17,52.9,0.2,-0.4,2,6,2,2,3,1.32,3,0,0,0,0,0,0.00,0,0,0,0,0,0,12,6,7,5,0,5,50.0,5,5,5,8,20,9,0,157,9,0,157,2,66.7,1,33.3,70,0,4,2,71,0,6,0,11,0,0,0,18,1,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,2,25,0,0,0,68,6.0,68,1,0,,7,0.33,0,2,-2,-0.88,-1.22,1.3,3.1,-1.8,-0.80,-0.57
2,Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38,38,3420,38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Matches,2018-2019,France,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0.09,-1.6,-1.6,1330,1614,82.4,28130,10765,344,405,84.9,804,877,91.7,171,289,59.2,0.3,-0.1,3,49,3,0,25,0.66,17,1,3,0,0,2,0.05,2,0,0,0,0,0,60,33,48,11,1,30,75.0,10,44,20,65,125,196,0,2027,259,27,2027,21,91.3,2,8.7,1040,1,16,6,1182,0,34,1,0,0,1,1,205,113,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0,31,1,0,0,0,90,100.0,90,38,0,,0,1.45,39,42,-3,-0.08,,38.1,45.0,-6.9,-0.18,
3,Mehdi Abeid,dz ALG,MF,Dijon,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0.00,0.13,0.09,0.09,0.13,0.07,0.20,0.10,0.17,Matches,2018-2019,France,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,0.06,+0.1,-0.1,903,1068,84.6,15602,3725,419,466,89.9,365,405,90.1,90,143,62.9,0.8,-1.6,22,92,5,2,41,1.82,30,4,4,1,1,2,0.09,2,0,0,0,0,0,51,33,27,16,8,15,33.3,30,33,26,29,80,23,1,1356,30,21,1355,31,51.7,29,48.3,786,4,40,31,908,0,57,1,24,0,0,0,145,17,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,12,5,1,6,0,78,59.2,84,16,3,28,1,0.81,18,30,-12,-0.53,+0.56,22.2,31.3,-9.2,-0.41,+0.19
4,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29,Matches,2018-2019,France,1,0,0.0,2.81,0.00,0.00,,15.5,0,0.06,-0.1,-0.1,6,17,35.3,45,8,5,7,71.4,0,4,0.0,0,2,0.0,0.0,0.0,1,0,1,0,2,5.63,0,0,1,1,0,0,0.00,0,0,0,0,0,0,4,4,2,1,1,2,100.0,0,1,1,0,4,1,0,29,1,4,29,2,66.7,1,33.3,16,0,3,2,17,0,2,0,0,0,0,0,5,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,11,0.9,,0,3,11,4,1.67,0,0,0,0.00,-0.48,1.0,1.3,-0.3,-0.75,-0.92
5,Khaled Adénon,bj BEN,DF,Amiens,33,1985,23,22,1994,22.2,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,2018-2019,France,8,0,0.0,0.36,0.00,0.00,,10.8,0,0.09,-0.7,-0.7,837,973,86.0,17115,6832,237,258,91.9,476,518,91.9,109,168,64.9,0.2,-0.1,5,53,3,0,11,0.50,8,0,0,2,0,0,0.00,0,0,0,0,0,0,31,22,20,11,0,16,57.1,12,26,15,31,62,101,0,1203,127,16,1203,1,100.0,0,0.0,687,0,5,7,701,1,32,2,0,0,0,1,107,51,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,5,1,0,0,0,87,58.3,89,20,1,45,10,0.91,16,32,-16,-0.72,-0.41,18.3,28.1,-9.7,-0.44,-0.14
6,Yacine Adli,fr FRA,MF,Bordeaux,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,13,17,17,0.00,0.00,0.00,0.00,0.00,0.01,0.34,0.34,0.01,0.34,Matches,2018-2019,France,1,0,0.0,0.42,0.00,0.00,,46.4,0,0.02,0.0,0.0,111,151,73.5,1783,526,54,69,78.3,45,59,76.3,9,16,56.3,0.9,-0.8,6,17,2,1,10,4.17,9,0,1,0,0,0,0.00,0,0,0,0,0,0,7,2,2,3,2,3,33.3,6,3,3,2,9,0,0,184,0,6,184,9,60.0,6,40.0,112,2,11,5,147,0,4,0,9,0,0,0,16,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,2,2,0,0,31,6.3,71,0,5,15,3,0.57,0,2,-2,-0.83,-0.66,2.0,2.9,-1.0,-0.40,-0.04
7,Nayef Aguerd,ma MAR,DF,Dijon,22,1996,13,12,1050,11.7,3,0,3,3,0,0,4,1,1.5,1.5,0.1,1.6,11,32,3,0.26,0.00,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14,Matches,2018-2019,France,10,4,40.0,0.86,0.34,0.30,0.75,14.0,0,0.15,+1.5,+1.5,465,604,77.0,9427,4171,153,167,91.6,223,264,84.5,80,148,54.1,0.1,-0.1,2,39,3,2,8,0.69,5,1,1,1,0,0,0.00,0,0,0,0,0,0,17,12,8,9,0,8,42.1,11,20,9,14,31,59,1,747,68,9,747,6,85.7,1,14.3,376,0,8,5,460,0,19,0,3,0,1,0,58,41,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,8,22,0,0,0,81,30.7,87,10,1,3,7,0.85,11,17,-6,-0.51,+0.36,11.1,15.9,-4.8,-0.41,+0.11
8,Ruben Aguilar,fr FRA,DF,Montpellier,25,1993,29,29,2528,28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12,Matches,2018-2019,France,13,4,30.8,0.46,0.14,0.08,0.25,20.1,0,0.07,+0.1,+0.1,1315,1640,80.2,20563,7554,730,806,90.6,468,573,81.7,86,159,54.1,2.7,+1.5,44,82,46,25,103,3.67,80,8,6,7,0,7,0.25,6,0,0,1,0,0,88,51,40,33,15,39,56.5,30,23,20,37,125,50,1,1970,63,35,1970,36,50.7,35,49.3,921,9,47,26,1172,0,37,1,115,0,1,0,185,28,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,0,7,281,0,0,0,87,73.9,87,26,0,,0,1.52,39,30,+9,+0.32,+0.12,37.7,31.8,+5.8,+0.21,-0.04
9,Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,17,12,1075,11.9,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.5,36,64,27,0.00,0.08,0.08,0.00,0.08,0.07,0.05,0.12,0.07,0.12,Matches,2018-2019,France,13,3,23.1,1.09,0.25,0.00,0.00,18.8,0,0.06,-0.8,-0.8,463,549,84.3,7732,2051,217,245,88.6,193,218,88.5,40,56,71.4,0.5,+0.4,8,50,4,1,28,2.34,20,0,3,1,1,3,0.25,2,0,0,1,0,0,20,11,6,11,3,8,50.0,8,7,7,17,37,12,0,661,10,17,661,10,58.8,7,41.2,395,4,14,9,441,0,26,0,5,0,0,0,79,22,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,8,2,0,0,0,63,31.4,77,7,5,31,5,1.00,10,13,-3,-0.25,+0.36,15.6,13.9,+1.7,+0.14,+0.32
10,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,67,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches,2018-2019,France,7,1,14.3,0.67,0.10,0.00,0.00,27.4,0,0.04,-0.3,-0.3,572,656,87.2,10579,2532,247,274,90.1,241,269,89.6,72,83,86.7,0.4,-0.4,7,42,7,2,20,1.93,18,0,1,0,1,0,0.00,0,0,0,0,0,0,25,13,9,12,4,13,46.4,15,15,13,19,44,6,2,748,12,2,748,11,68.8,5,31.3,382,0,6,7,557,0,10,0,4,0,0,0,74,7,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,7,6,0,0,0,72,27.4,82,7,2,16,1,1.85,16,9,+7,+0.67,+0.27,13.4,14.2,-0.8,-0.07,-0.33
