Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
327,Nicky Medja,ch SUI,"FW,MF",Fiorentina,18,2000,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,5,10,50.0,71,8,3,5,60.0,2,4,50.0,0,0,,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,1,50.0,1,0,0,0,1,0,0,17,0,1,17,0,,0,,9,0,2,1,12,0,1,1,0,0,0,0,3,1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,45,1.3,,0,1,45,2,0.00,0,0,0,0.00,-0.05,0.3,0.2,+0.1,+0.11,-0.24
328,Riccardo Meggiorini,it ITA,FW,Chievo,32,1985,24,18,1548,17.2,3,1,4,2,1,1,6,0,3.3,2.5,1.5,4.0,24,30,105,0.17,0.06,0.23,0.12,0.17,0.19,0.08,0.28,0.15,0.23,Matches,2018-2019,Italy,33,14,42.4,1.92,0.81,0.06,0.14,16.9,1,0.08,-0.3,-0.5,268,439,61.0,3575,699,152,207,73.4,72,133,54.1,15,36,41.7,0.7,-0.5,12,20,8,2,31,1.80,22,0,1,4,1,3,0.17,0,0,0,2,1,0,17,13,5,9,3,1,10.0,9,20,18,8,25,26,0,629,29,55,628,6,50.0,6,50.0,307,3,36,22,483,0,34,11,23,1,0,0,50,90,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2,3,0,0,0,65,45.3,77,8,6,26,12,0.50,10,33,-23,-1.34,-0.04,13.8,26.9,-13.1,-0.76,-0.22
329,Soualiho Meïté,fr FRA,MF,Torino,24,1994,35,30,2659,29.5,2,4,6,2,0,0,7,1,1.2,1.2,2.3,3.5,57,152,64,0.07,0.14,0.20,0.07,0.20,0.04,0.08,0.12,0.04,0.12,Matches,2018-2019,Italy,30,11,36.7,1.02,0.37,0.07,0.18,22.1,0,0.04,+0.8,+0.8,951,1164,81.7,15823,4205,448,530,84.5,360,402,89.6,96,130,73.8,1.9,+1.7,33,112,24,7,88,2.98,72,0,8,2,2,11,0.37,9,0,2,0,0,0,46,21,13,22,11,23,50.0,23,46,40,29,75,26,0,1511,43,44,1511,52,73.2,19,26.8,816,8,66,47,965,0,61,1,14,0,1,0,210,82,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,16,0,0,0,0,76,77.7,85,21,5,24,0,1.71,39,29,+10,+0.34,-0.25,36.0,34.6,+1.4,+0.05,+0.34
330,Alex Meret,it ITA,GK,Napoli,21,1997,14,13,1151,12.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,269,352,76.4,7056,4556,32,32,100.0,152,155,98.1,82,161,50.9,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,1,379,349,0,379,0,,0,,178,0,1,0,151,0,2,0,0,0,1,0,21,2,100.0,9,0.70,48,39,85.4,9,1,3,5,38.5,2,0,0,0.0,1,10.0,0.17,+1.0,+0.07,42,21.0,28.8,47.5,40.3,190,2,1.1,8,0.63,12.9,125,0,2,0,0,0,0,82,33.7,85,12,1,47,11,2.21,28,9,+19,+1.49,+0.73,21.2,12.6,+8.6,+0.67,+0.08
331,Dries Mertens,be BEL,FW,Napoli,31,1987,35,23,2252,25.0,16,11,27,15,1,1,1,0,10.7,9.9,8.0,17.9,71,96,261,0.64,0.44,1.08,0.60,1.04,0.43,0.32,0.75,0.40,0.71,Matches,2018-2019,Italy,88,38,43.2,3.52,1.52,0.17,0.39,17.6,4,0.11,+5.3,+5.1,697,942,74.0,9626,2367,410,486,84.4,188,257,73.2,40,79,50.6,5.0,+3.0,68,53,37,4,122,4.88,87,12,9,5,3,15,0.60,9,2,1,2,1,0,19,11,2,7,10,1,4.8,20,7,7,13,32,3,0,1167,3,151,1166,18,47.4,20,52.6,816,35,44,28,954,0,32,13,75,0,0,0,66,6,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,10,0,10,18,12,0,64,65.8,82,13,12,31,2,2.00,55,19,+36,+1.44,+1.28,41.8,23.6,+18.2,+0.73,+0.31
332,Petar Mićin,rs SRB,MF,Udinese,19,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,0,2,0,,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0.1,,0,1,3,28,3.00,0,0,0,0.00,+0.37,0.0,1.2,-1.2,-36.47,-36.05
333,Nikola Milenković,rs SRB,DF,Fiorentina,20,1997,34,34,3008,33.4,3,0,3,3,0,0,8,1,2.7,2.7,0.2,2.9,38,159,27,0.09,0.00,0.09,0.09,0.09,0.08,0.01,0.09,0.08,0.09,Matches,2018-2019,Italy,29,12,41.4,0.87,0.36,0.10,0.25,15.9,0,0.09,+0.3,+0.3,1465,1841,79.6,28617,9197,497,589,84.4,759,903,84.1,182,284,64.1,0.5,-0.2,4,101,9,2,23,0.69,18,1,0,1,1,1,0.03,1,0,0,0,0,0,59,40,36,21,2,17,51.5,16,39,18,48,107,143,0,2207,164,28,2207,11,84.6,2,15.4,1060,0,20,8,1257,1,60,2,21,0,0,0,144,107,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,1,21,170,0,0,0,88,88.0,88,32,0,,1,0.97,36,37,-1,-0.03,-0.69,46.9,32.0,+14.8,+0.44,+0.84
334,Arkadiusz Milik,pl POL,FW,Napoli,24,1994,35,27,2396,26.6,17,3,20,17,0,0,4,0,13.9,13.9,3.0,16.8,30,57,169,0.64,0.11,0.75,0.64,0.75,0.52,0.11,0.63,0.52,0.63,Matches,2018-2019,Italy,111,51,45.9,4.17,1.92,0.15,0.33,15.3,7,0.13,+3.1,+3.1,491,604,81.3,6527,964,297,347,85.6,131,150,87.3,23,28,82.1,1.9,0.0,37,26,20,1,70,2.63,56,0,1,2,2,6,0.23,4,0,0,1,1,0,19,9,1,8,10,1,5.0,19,7,5,3,22,15,0,856,19,131,856,8,47.1,9,52.9,539,10,45,22,692,0,43,16,5,0,0,0,47,43,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,3,2,0,0,0,68,70.1,82,17,8,24,3,2.00,55,25,+30,+1.13,+0.42,42.1,27.0,+15.2,+0.57,-0.17
335,Sergej Milinković-Savić,rs SRB,MF,Lazio,23,1995,31,29,2396,26.6,5,3,8,5,0,0,7,1,6.4,6.4,4.5,11.0,59,188,161,0.19,0.11,0.30,0.19,0.30,0.24,0.17,0.41,0.24,0.41,Matches,2018-2019,Italy,76,22,28.9,2.85,0.83,0.07,0.23,19.7,7,0.08,-1.4,-1.4,1132,1458,77.6,18959,5417,574,691,83.1,386,481,80.2,129,173,74.6,3.5,-1.5,48,139,41,3,115,4.32,92,3,3,3,1,8,0.30,8,0,0,0,0,0,44,28,17,21,6,23,38.3,37,28,24,27,71,48,0,1844,61,98,1844,34,53.1,30,46.9,1102,7,64,46,1407,0,60,12,35,0,0,0,187,109,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,12,22,15,0,0,0,77,70.1,81,18,2,20,1,1.52,39,27,+12,+0.45,+0.63,43.9,28.4,+15.4,+0.58,+0.76
336,Vanja Milinković-Savić,rs SRB,GK,SPAL,21,1997,2,2,164,1.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,51,78,65.4,1347,984,16,16,100.0,20,21,95.2,15,41,36.6,0.0,0.0,0,1,0,0,1,0.55,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,86,78,0,86,0,,0,,51,0,0,0,31,1,0,0,0,0,0,0,1,0,,4,2.20,16,12,75.0,1,0,1,0,0.0,0,0,0,,1,3.0,0.18,-1.0,-0.58,20,36.8,33.7,52.4,49.3,27,1,3.7,1,0.55,10.1,23,0,0,0,0,0,0,82,4.8,82,1,0,,16,1.50,3,4,-1,-0.55,-0.24,2.5,3.4,-0.9,-0.49,-0.31
