Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
231,Justin Kluivert,nl NED,FW,Ajax,18,1999,30,27,2334,25.9,10,5,15,10,0,0,2,0,0.39,0.19,0.58,0.39,0.58,Matches,2017-2018,Netherlands,0,34,,0.00,1.31,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,41,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,76.3,,16,3,,3,2.33,67,27,+40,+1.54,-0.44
232,Yuki Kobayashi,jp JPN,MF,Heerenveen,25,1992,30,30,2567,28.5,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,2017-2018,Netherlands,0,12,,0.00,0.42,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,83.9,,22,0,,4,1.41,39,42,-3,-0.11,+0.26
233,Menno Koch,nl NED,DF,NAC Breda,23,1994,13,13,1170,13.0,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,Matches,2017-2018,Netherlands,0,6,,0.00,0.46,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,38.2,,13,0,,8,0.92,16,22,-6,-0.46,+0.01
234,Ryan Koolwijk,sr SUR,MF,Excelsior,31,1985,28,28,2428,27.0,2,1,3,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,Matches,2017-2018,Netherlands,0,7,,0.00,0.26,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,57,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,79.3,,19,0,,1,1.14,30,45,-15,-0.56,-0.56
235,Teun Koopmeiners,nl NED,MF,AZ Alkmaar,19,1998,26,25,2191,24.3,1,4,5,1,0,0,2,0,0.04,0.16,0.21,0.04,0.21,Matches,2017-2018,Netherlands,0,15,,0.00,0.62,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,37,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,71.6,,21,1,,5,2.12,57,25,+32,+1.31,+1.11
236,Dico Koppers,nl NED,DF,Zwolle,25,1992,2,0,43,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1.4,,0,2,,0,2.00,1,0,+1,+2.09,+2.48
237,Evren Korkmaz,nl NED,DF,VVV-Venlo,20,1997,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8,,0,2,,12,0.00,0,1,-1,-3.91,-3.38
238,Giovanni Korte,nl NED,"FW,MF",NAC Breda,23,1993,25,17,1457,16.2,3,0,3,3,0,0,5,0,0.19,0.00,0.19,0.19,0.19,Matches,2017-2018,Netherlands,0,11,,0.00,0.68,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,47.6,,6,8,,1,0.92,14,28,-14,-0.86,-0.75
239,Roy Kortsmit,nl NED,GK,Sparta R'dam,24,1992,19,19,1672,18.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,40,2.15,112,72,64.3,2,5,12,2,10.5,0,2,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,88,54.6,,18,0,,0,0.58,15,40,-25,-1.35,-0.31
240,Lars Kramer,nl NED,DF,Groningen,18,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,,0,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.2,,0,1,,13,0.00,0,0,0,0.00,0.00
