Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,3195,35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7.0,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.20,0.07,0.20,Matches,2018-2019,England1,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0.06,+0.4,+0.4,1564,1971,79.4,24295,10061,874,995,87.8,551,687,80.2,101,194,52.1,3.7,-2.4,35,117,52,4,86,2.42,67,8,2,2,0,6,0.17,4,1,0,1,0,0,48,24,35,11,2,24,60.0,16,33,24,40,88,91,2,2300,123,63,2300,22,52.4,20,47.6,1051,16,35,15,1335,0,12,10,42,0,0,0,216,10,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,5,7,316,0,1,1,89,93.4,89,33,0,,2,1.19,44,46,-2,-0.06,-0.06,44.1,46.3,-2.2,-0.06,+0.07
2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,2459,27.3,21,8,29,19,2,2,4,0,18.1,16.5,5.0,21.5,81,76,253,0.77,0.29,1.06,0.70,0.99,0.66,0.18,0.85,0.60,0.79,Matches,2018-2019,England1,116,41,35.3,4.25,1.50,0.16,0.46,15.0,3,0.14,+2.9,+2.5,661,796,83.0,7735,1420,415,466,89.1,151,176,85.8,12,24,50.0,4.3,+3.0,34,40,40,0,91,3.33,60,1,11,7,2,19,0.70,14,0,2,2,1,0,17,9,1,10,6,5,55.6,4,15,14,9,26,3,0,1119,4,200,1117,45,61.6,28,38.4,824,35,74,54,896,0,21,26,13,0,0,0,70,17,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,1,8,0,0,0,75,71.9,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,58.9,17.7,+41.2,+1.51,-0.22
3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,3411,37.9,4,0,4,4,0,0,3,0,3.4,3.4,1.0,4.4,20,98,25,0.11,0.00,0.11,0.11,0.11,0.09,0.03,0.11,0.09,0.11,Matches,2018-2019,England1,25,8,32.0,0.66,0.21,0.16,0.50,9.4,0,0.13,+0.6,+0.6,1491,1733,86.0,26259,10116,654,718,91.1,703,781,90.0,119,197,60.4,0.9,-1.0,7,74,6,3,24,0.63,19,0,0,1,0,1,0.03,0,0,0,0,1,0,66,35,42,21,3,22,62.9,13,51,16,32,98,241,0,2205,305,50,2205,3,60.0,2,40.0,1299,2,18,6,1307,0,28,2,6,1,1,0,182,86,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,1,6,29,0,0,0,90,99.7,90,37,0,,0,1.18,56,70,-14,-0.37,-0.37,53.3,57.1,-3.9,-0.10,-0.02
4,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27,18,1625,18.1,2,2,4,2,0,0,3,0,1.2,1.2,2.9,4.1,54,64,172,0.11,0.11,0.22,0.11,0.22,0.07,0.16,0.23,0.07,0.23,Matches,2018-2019,England1,19,7,36.8,1.05,0.39,0.11,0.29,21.4,0,0.06,+0.8,+0.8,448,776,57.7,7849,2947,236,301,78.4,129,217,59.4,61,160,38.1,2.3,-0.9,28,53,29,14,47,2.60,37,4,3,0,0,4,0.22,4,0,0,0,0,0,35,22,18,14,3,13,41.9,18,26,23,23,58,30,0,1005,39,27,1005,20,36.4,35,63.6,633,3,35,23,656,0,10,2,125,0,0,0,141,15,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,9,9,19,3,3,1,60,47.5,78,8,9,25,2,1.37,17,17,0,0.00,-0.15,19.9,23.1,-3.2,-0.18,-0.78
5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,2922,32.5,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.8,25,161,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,2018-2019,England1,19,5,26.3,0.59,0.15,0.00,0.00,14.1,0,0.06,-1.1,-1.1,2097,2382,88.0,45013,14391,609,645,94.4,1118,1194,93.6,352,500,70.4,1.7,-0.6,7,161,24,1,34,1.05,29,0,1,0,0,2,0.06,2,0,0,0,0,0,37,23,25,10,2,12,54.5,10,41,19,24,61,175,0,2690,270,18,2690,1,50.0,1,50.0,1848,0,6,0,1922,0,10,1,6,0,0,1,193,54,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,6,32,8,0,0,0,86,85.4,88,30,1,19,3,1.91,56,31,+25,+0.77,+0.23,46.7,37.0,+9.7,+0.30,+0.64
6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,2462,27.4,1,12,13,1,0,0,3,0,1.6,1.6,6.3,7.9,70,157,174,0.04,0.44,0.48,0.04,0.48,0.06,0.23,0.29,0.06,0.29,Matches,2018-2019,England1,29,9,31.0,1.06,0.33,0.03,0.11,25.1,9,0.05,-0.6,-0.6,1644,2236,73.5,30562,10915,692,794,87.2,712,902,78.9,208,422,49.3,6.6,+5.7,48,123,55,25,96,3.51,62,24,6,1,1,18,0.66,13,5,0,0,0,0,61,39,31,22,8,36,52.9,32,19,16,35,96,68,0,2514,70,39,2514,14,51.9,13,48.1,1416,7,41,14,1538,0,14,4,201,0,0,0,169,9,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,3,40,324,28,31,3,85,72.0,88,20,2,40,4,2.69,67,14,+53,+1.94,+0.62,58.8,21.2,+37.6,+1.38,+0.69
7,Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,England1,0,0,,0.00,0.00,,,,0,,0.0,0.0,1075,1290,83.3,28332,18517,143,148,96.6,625,628,99.5,307,510,60.2,0.0,0.0,0,5,1,0,4,0.11,1,3,0,0,0,1,0.03,0,1,0,0,0,0,2,1,2,0,0,2,100.0,0,0,0,1,3,14,6,1347,1118,0,1347,2,100.0,0,0.0,838,0,0,1,675,0,0,0,0,0,0,0,70,11,91.7,22,0.58,96,74,77.1,30,7,1,21,55.3,0,0,1,,5,27.2,0.29,+5.2,+0.14,212,20.1,28.8,44.0,41.3,385,16,4.2,59,1.55,16.6,304,0,3,0,0,0,0,90,100.0,90,38,0,,0,2.55,89,22,+67,+1.76,,73.7,28.8,+44.9,+1.18,
8,Dele Alli,eng ENG,MF,Tottenham,22,1996,25,22,1825,20.3,5,3,8,5,0,0,4,0,4.8,4.8,3.1,7.9,48,111,153,0.25,0.15,0.39,0.25,0.39,0.23,0.15,0.39,0.23,0.39,Matches,2018-2019,England1,39,19,48.7,1.92,0.94,0.13,0.26,14.4,0,0.12,+0.2,+0.2,836,1056,79.2,11782,2868,495,564,87.8,265,325,81.5,33,63,52.4,2.2,-0.1,27,67,29,1,64,3.16,45,2,6,5,1,5,0.25,3,0,0,1,1,0,33,19,6,14,13,5,20.8,19,33,28,19,52,20,0,1320,32,91,1320,29,53.7,25,46.3,857,14,49,29,948,0,23,3,10,0,0,0,124,20,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,18,4,10,0,0,0,73,53.4,81,10,3,13,0,1.72,32,21,+11,+0.54,-0.42,28.7,22.1,+6.5,+0.32,+0.25
9,Miguel Almirón,py PAR,MF,Newcastle Utd,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,1.5,1.5,0.6,2.1,31,25,45,0.00,0.00,0.00,0.00,0.00,0.18,0.07,0.25,0.17,0.24,Matches,2018-2019,England1,19,8,42.1,2.25,0.95,0.00,0.00,20.1,0,0.08,-1.5,-1.5,188,263,71.5,2883,752,98,125,78.4,54,74,73.0,21,28,75.0,0.8,-0.6,13,21,12,7,36,4.27,27,0,1,3,2,3,0.36,1,0,0,1,1,0,20,12,7,10,3,4,40.0,6,14,13,8,28,5,0,380,7,25,380,7,50.0,7,50.0,215,6,22,6,240,0,6,4,21,0,0,0,61,1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,0,1,0,76,22.2,82,4,1,18,0,1.70,11,11,0,0.00,+0.20,11.3,9.2,+2.0,+0.24,+0.80
10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,2759,30.7,2,4,6,2,0,0,6,0,3.4,3.4,3.4,6.8,102,146,230,0.07,0.13,0.20,0.07,0.20,0.11,0.11,0.22,0.11,0.22,Matches,2018-2019,England1,45,7,15.6,1.47,0.23,0.04,0.29,19.2,8,0.08,-1.4,-1.4,1862,2255,82.6,24620,7841,1227,1340,91.6,486,611,79.5,66,146,45.2,2.6,+0.6,33,102,21,7,66,2.15,55,1,0,4,1,10,0.33,6,0,0,2,2,0,73,46,44,22,7,33,56.9,25,25,23,39,112,101,0,2631,109,70,2631,17,51.5,15,45.5,1446,7,32,28,1681,0,28,2,98,2,1,0,212,66,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2,17,272,0,0,0,89,80.7,89,29,0,,1,1.97,52,28,+24,+0.78,+0.78,48.4,29.3,+19.2,+0.63,+0.21
