Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
225,Jonas,br BRA,FW,Benfica,33,1984,30,29,2449,27.2,34,8,42,26,8,10,2,0,1.25,0.29,1.54,0.96,1.25,Matches,2017-2018,Portugal,133,68,51.1,4.89,2.50,0.20,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,4,,,,,,,,,,,,,,,,,0,40,18,19,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,80.0,,9,1,,0,2.50,66,14,+52,+1.91,+1.03
226,Wilmar Jordán,co COL,FW,Chaves,26,1990,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,,0,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9,,0,2,,2,0.50,2,0,+2,+6.21,+6.50
227,Jorginho,gw GNB,"MF,FW",Chaves,21,1995,20,4,669,7.4,1,2,3,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,Matches,2017-2018,Portugal,12,2,16.7,1.61,0.27,0.08,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,6,,,,,,,,,,,,,,,,,0,8,1,21,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,21.9,,2,16,,10,1.20,10,12,-2,-0.27,-0.04
228,Jubal,br BRA,DF,Vitória,23,1993,24,23,2077,23.1,1,0,1,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04,Matches,2017-2018,Portugal,13,6,46.2,0.56,0.26,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,34,,,,,,,,,,,,,,,,,0,37,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,67.9,,20,1,,2,1.50,34,29,+5,+0.22,+1.68
229,Zainadine Júnior,mz MOZ,DF,Marítimo,29,1988,30,30,2656,29.5,1,1,2,1,0,0,8,1,0.03,0.03,0.07,0.03,0.07,Matches,2017-2018,Portugal,15,4,26.7,0.51,0.14,0.07,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,66,,,,,,,,,,,,,,,,,0,23,0,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,86.8,,28,0,,0,1.53,34,36,-2,-0.07,+2.38
230,Alex Kakuba,ug UGA,DF,Feirense,26,1991,20,18,1718,19.1,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,2017-2018,Portugal,6,1,16.7,0.31,0.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,42,,,,,,,,,,,,,,,,,0,23,0,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,56.1,,16,2,,4,1.00,20,25,-5,-0.26,+0.48
231,Tasos Karamanos,gr GRE,FW,Feirense,26,1990,12,3,341,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,4,1,25.0,1.06,0.26,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,0,4,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,11.1,,2,9,,3,0.33,6,9,-3,-0.79,-0.36
232,Tasos Karamanos,gr GRE,FW,Rio Ave,26,1990,8,3,253,2.8,0,1,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,Matches,2017-2018,Portugal,4,1,25.0,1.06,0.26,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,0,4,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,11.1,,2,9,,3,0.33,6,9,-3,-0.79,-0.36
233,Kléber,br BRA,FW,Estoril,27,1990,17,16,1384,15.4,6,0,6,5,1,1,6,0,0.39,0.00,0.39,0.33,0.33,Matches,2017-2018,Portugal,44,9,20.5,2.86,0.59,0.11,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,0,46,10,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,45.2,,12,1,,0,0.76,14,33,-19,-1.24,-0.54
234,Koka,eg EGY,FW,Braga,24,1993,20,12,1056,11.7,5,1,6,4,1,1,4,0,0.43,0.09,0.51,0.34,0.43,Matches,2017-2018,Portugal,28,12,42.9,2.39,1.02,0.14,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,0,30,11,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,34.5,,1,8,,8,2.25,24,12,+12,+1.02,-0.46
