Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
1,Sargis Adamyan,am ARM,FW,Club Brugge,28,1993,9,5,476,5.3,5,0,5,5,0,0,1,0,0.95,0.00,0.95,0.95,0.95,Matches,2021-2022,Belgium,23,12,52.2,4.35,2.27,0.22,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,2,,,,,,,,,,,,,,,,,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,15.6,72,0,4,29,0,2.53,16,5,+11,+2.08,+1.24
2,Emmanuel Agbadou,ci CIV,DF,Eupen,24,1997,33,32,2885,32.1,5,0,5,5,0,0,9,0,0.16,0.00,0.16,0.16,0.16,Matches,2021-2022,Belgium,29,8,27.6,0.90,0.25,0.17,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,59,,,,,,,,,,,,,,,,,0,37,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,94.3,89,30,1,25,0,0.88,32,59,-27,-0.84,-2.39
3,Yannick Aguemon,bj BEN,MF,OH Leuven,29,1992,3,1,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Belgium,2,0,0.0,1.41,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,0,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,4.3,83,0,2,23,6,0.67,3,2,+1,+0.70,+1.08
4,Joost van Aken,nl NED,DF,Zulte Waregem,27,1994,1,1,61,0.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Belgium,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,1,5,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,2.0,61,0,0,,4,1.00,1,1,0,0.00,+0.81
5,Alessandro Albanese,be BEL,"MF,FW",Oostende,21,2000,8,3,323,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,2021-2022,Belgium,2,1,50.0,0.56,0.28,0.50,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2,,,,,,,,,,,,,,,,,0,1,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10.6,89,2,5,11,2,1.25,5,3,+2,+0.56,+1.51
6,Rúnar Alex Rúnarsson,is ISL,GK,OH Leuven,26,1995,17,17,1484,16.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Belgium,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0,0,0,0,,,0,25,1.52,85,61,71.8,6,3,8,2,11.8,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,87,50.0,87,16,0,,8,1.24,22,25,-3,-0.18,+0.30
7,Rachid Alioui,ma MAR,FW,Kortrijk,29,1992,6,1,164,1.8,1,1,2,1,0,0,1,0,0.55,0.55,1.10,0.55,1.10,Matches,2021-2022,Belgium,11,2,18.2,6.04,1.10,0.09,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,0,2,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5.4,69,0,5,19,2,0.83,4,2,+2,+1.10,+1.32
8,Arthur Allemeersch,be BEL,FW,OH Leuven,20,2001,4,2,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Belgium,3,1,33.3,2.11,0.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4.3,57,0,2,7,4,0.25,1,5,-4,-2.81,-2.59
9,Teddy Alloh,fr FRA,"MF,DF",Eupen,19,2002,12,8,682,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Belgium,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,10,,,,,,,,,,,,,,,,,0,6,3,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,22.3,72,1,4,26,0,0.58,3,12,-9,-1.19,-0.62
10,Dinis Almeida,pt POR,DF,Antwerp,26,1995,19,12,1352,15.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Belgium,5,1,20.0,0.33,0.07,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,19,,,,,,,,,,,,,,,,,0,11,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,44.2,90,12,7,39,13,1.75,26,17,+9,+0.60,+0.18
