Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
433,Ander Capa,es ESP,DF,Eibar,es La Liga,24,1992,31,29,2551,28.3,0,3,3,0,0,0,9,1,0.00,0.11,0.11,0.00,0.11,Matches,2016-2017,,,,,,,,,,,,
434,Pierrick Capelle,fr FRA,"FW,MF",Angers,fr Ligue 1,29,1987,32,20,1749,19.4,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15,Matches,2016-2017,,,,,,,,,,,,
435,Leonardo Capezzi,it ITA,MF,Crotone,it Serie A,21,1995,25,18,1637,18.2,0,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
436,Étienne Capoue,fr FRA,MF,Watford,eng Premier League,28,1988,37,37,3203,35.6,7,1,8,7,0,0,5,0,0.20,0.03,0.22,0.20,0.22,Matches,2016-2017,,,,,,,,,,,,
437,Gianluca Caprari,it ITA,"FW,MF",Pescara,it Serie A,23,1993,35,34,3108,34.5,9,4,13,8,1,2,8,0,0.26,0.12,0.38,0.23,0.35,Matches,2016-2017,,,,,,,,,,,,
438,Marco Capuano,it ITA,DF,Cagliari,it Serie A,24,1991,12,8,771,8.6,1,0,1,1,0,0,1,2,0.12,0.00,0.12,0.12,0.12,Matches,2016-2017,,,,,,,,,,,,
439,Mehdi Carcela,ma MAR,"MF,FW",Granada,es La Liga,27,1989,22,20,1747,19.4,5,1,6,5,0,0,6,0,0.26,0.05,0.31,0.26,0.31,Matches,2016-2017,,,,,,,,,,,,
440,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,22,1994,36,36,3205,35.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
441,Irvin Cardona,fr FRA,"FW,MF",Monaco,fr Ligue 1,18,1997,3,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
442,Baily Cargill,eng ENG,DF,Bournemouth,eng Premier League,21,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
443,Carlão,br BRA,DF,Torino,it Serie A,30,1986,4,4,334,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
444,Diego Carlos,br BRA,DF,Nantes,fr Ligue 1,23,1993,34,34,2949,32.8,2,1,3,2,0,0,8,0,0.06,0.03,0.09,0.06,0.09,Matches,2016-2017,,,,,,,,,,,,
445,José Carlos,es ESP,DF,Betis,es La Liga,20,1996,6,6,496,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
446,Carlos Carmona,cl CHI,MF,Atalanta,it Serie A,29,1987,2,2,100,1.1,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
447,Carlos Carmona,es ESP,"MF,FW",Sporting Gijón,es La Liga,29,1987,25,21,1861,20.7,8,2,10,8,0,0,5,0,0.39,0.10,0.48,0.39,0.48,Matches,2016-2017,,,,,,,,,,,,
448,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,es La Liga,22,1993,35,27,2257,25.1,10,4,14,10,0,1,5,0,0.40,0.16,0.56,0.40,0.56,Matches,2016-2017,,,,,,,,,,,,
449,Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,34,1981,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
450,Michael Carrick,eng ENG,MF,Manchester Utd,eng Premier League,35,1981,23,18,1600,17.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
451,Daniel Carriço,pt POR,DF,Sevilla,es La Liga,27,1988,6,6,452,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
452,Guido Carrillo,ar ARG,FW,Monaco,fr Ligue 1,25,1991,19,5,598,6.6,7,1,8,7,0,0,0,0,1.05,0.15,1.20,1.05,1.20,Matches,2016-2017,,,,,,,,,,,,
453,Andy Carroll,eng ENG,FW,West Ham,eng Premier League,27,1989,18,15,1311,14.6,7,1,8,7,0,0,3,0,0.48,0.07,0.55,0.48,0.55,Matches,2016-2017,,,,,,,,,,,,
454,Tom Carroll,eng ENG,MF,Tottenham,eng Premier League,24,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
455,Tom Carroll,eng ENG,MF,Swansea City,eng Premier League,24,1992,17,16,1387,15.4,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches,2016-2017,,,,,,,,,,,,
456,Federico Cartabia,ar ARG,"MF,FW",Valencia,es La Liga,23,1993,4,2,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
457,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,24,1992,23,21,2016,22.4,0,4,4,0,0,0,11,0,0.00,0.18,0.18,0.00,0.18,Matches,2016-2017,,,,,,,,,,,,
458,Casemiro,br BRA,MF,Real Madrid,es La Liga,24,1992,25,20,1706,19.0,4,0,4,4,0,0,10,0,0.21,0.00,0.21,0.21,0.21,Matches,2016-2017,,,,,,,,,,,,
459,Nacho Cases,es ESP,MF,Sporting Gijón,es La Liga,28,1987,21,16,1471,16.3,2,1,3,2,0,0,6,0,0.12,0.06,0.18,0.12,0.18,Matches,2016-2017,,,,,,,,,,,,
460,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,29,1986,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
461,Leandro Castán,br BRA,DF,Torino,it Serie A,29,1986,14,13,1177,13.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
462,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,24,1992,20,20,1800,20.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
463,Dani Castellano,es ESP,DF,Las Palmas,es La Liga,28,1987,27,25,2107,23.4,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017,,,,,,,,,,,,
464,Javi Castellano,es ESP,"DF,MF",Las Palmas,es La Liga,28,1987,5,0,99,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
465,Samu Castillejo,es ESP,MF,Villarreal,es La Liga,21,1995,33,24,2050,22.8,2,2,4,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches,2016-2017,,,,,,,,,,,,
466,Carlos Castro,es ESP,FW,Sporting Gijón,es La Liga,21,1995,25,10,1024,11.4,4,1,5,4,0,0,1,0,0.35,0.09,0.44,0.35,0.44,Matches,2016-2017,,,,,,,,,,,,
467,Chory Castro,uy URU,"MF,FW",Málaga,es La Liga,31,1984,29,21,1790,19.9,1,3,4,1,0,0,5,1,0.05,0.15,0.20,0.05,0.20,Matches,2016-2017,,,,,,,,,,,,
468,Gonzalo Castro,de GER,MF,Dortmund,de Bundesliga,29,1987,28,23,1921,21.3,3,4,7,3,0,0,5,0,0.14,0.19,0.33,0.14,0.33,Matches,2016-2017,,,,,,,,,,,,
469,Jonny Castro,es ESP,DF,Celta Vigo,es La Liga,22,1994,30,23,2213,24.6,0,3,3,0,0,0,8,0,0.00,0.12,0.12,0.00,0.12,Matches,2016-2017,,,,,,,,,,,,
470,Lucas Castro,ar ARG,MF,Chievo,it Serie A,27,1989,33,33,2759,30.7,5,6,11,5,0,0,6,2,0.16,0.20,0.36,0.16,0.36,Matches,2016-2017,,,,,,,,,,,,
471,Joel Castro Pereira,pt POR,GK,Manchester Utd,eng Premier League,20,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
472,Rubén Castro,es ESP,FW,Betis,es La Liga,35,1981,35,32,2777,30.9,13,3,16,11,2,2,3,0,0.42,0.10,0.52,0.36,0.45,Matches,2016-2017,,,,,,,,,,,,
473,Danilo Cataldi,it ITA,MF,Genoa,it Serie A,21,1994,13,10,931,10.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
474,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,21,1994,11,5,662,7.4,1,1,2,1,0,0,3,1,0.14,0.14,0.27,0.14,0.27,Matches,2016-2017,,,,,,,,,,,,
475,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,27,1989,15,13,1162,12.9,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,2016-2017,,,,,,,,,,,,
476,Lee Cattermole,eng ENG,MF,Sunderland,eng Premier League,28,1988,8,8,633,7.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
477,Goran Čaušić,rs SRB,MF,Osasuna,es La Liga,24,1992,26,22,2008,22.3,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,Matches,2016-2017,,,,,,,,,,,,
478,Ivan Cavaleiro,pt POR,FW,Monaco,fr Ligue 1,22,1993,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
479,Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,29,1987,36,35,2965,32.9,35,4,39,28,7,8,5,0,1.06,0.12,1.18,0.85,0.97,Matches,2016-2017,,,,,,,,,,,,
480,Dimitri Cavaré,fr FRA,DF,Rennes,fr Ligue 1,21,1995,2,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
481,Santi Cazorla,es ESP,MF,Arsenal,eng Premier League,31,1984,8,7,618,6.9,2,1,3,0,2,2,2,0,0.29,0.15,0.44,0.00,0.15,Matches,2016-2017,,,,,,,,,,,,
482,Dani Ceballos,es ESP,MF,Betis,es La Liga,19,1996,30,24,2339,26.0,2,2,4,2,0,0,8,0,0.08,0.08,0.15,0.08,0.15,Matches,2016-2017,,,,,,,,,,,,
483,Federico Ceccherini,it ITA,DF,Crotone,it Serie A,24,1992,35,35,3097,34.4,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches,2016-2017,,,,,,,,,,,,
484,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,34,1982,35,35,3097,34.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
485,Álvaro Cejudo,es ESP,"MF,FW",Betis,es La Liga,32,1984,17,6,815,9.1,1,1,2,1,0,0,8,0,0.11,0.11,0.22,0.11,0.22,Matches,2016-2017,,,,,,,,,,,,
486,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,26,1989,19,19,1689,18.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
487,Alessio Cerci,it ITA,"FW,MF",Atlético Madrid,es La Liga,29,1987,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
488,Alberto Cerri,it ITA,FW,Pescara,it Serie A,20,1996,13,7,697,7.7,2,0,2,2,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,2016-2017,,,,,,,,,,,,
489,Boštjan Cesar,si SVN,DF,Chievo,it Serie A,34,1982,17,16,1436,16.0,1,0,1,1,0,0,9,2,0.06,0.00,0.06,0.06,0.06,Matches,2016-2017,,,,,,,,,,,,
490,Julien Cétout,fr FRA,"MF,DF",Nancy,fr Ligue 1,28,1988,28,27,2332,25.9,1,2,3,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,Matches,2016-2017,,,,,,,,,,,,
491,Nacer Chadli,be BEL,"MF,FW",West Brom,eng Premier League,26,1989,31,27,2134,23.7,5,4,9,4,1,1,2,0,0.21,0.17,0.38,0.17,0.34,Matches,2016-2017,,,,,,,,,,,,
492,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,29,1986,27,27,2395,26.6,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017,,,,,,,,,,,,
493,Nathaniel Chalobah,eng ENG,MF,Chelsea,eng Premier League,21,1994,10,1,167,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
494,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,21,1995,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,2016-2017,,,,,,,,,,,,
495,Calum Chambers,eng ENG,DF,Middlesbrough,eng Premier League,21,1995,24,24,2160,24.0,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches,2016-2017,,,,,,,,,,,,
496,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,31,1985,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
497,Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,26,1990,32,31,2817,31.3,0,3,3,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10,Matches,2016-2017,,,,,,,,,,,,
498,Kwon Chang-hoon,kr KOR,FW,Dijon,fr Ligue 1,22,1994,8,2,224,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
499,Clément Chantôme,fr FRA,MF,Rennes,fr Ligue 1,28,1987,7,6,336,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
500,Charles,br BRA,FW,Málaga,es La Liga,32,1984,21,11,1141,12.7,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,Matches,2016-2017,,,,,,,,,,,,
501,Paul Charruau,fr FRA,GK,Bastia,fr Ligue 1,23,1993,1,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
502,Pape Cheikh Diop,sn SEN,"MF,FW",Celta Vigo,es La Liga,18,1997,16,5,571,6.3,1,0,1,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16,Matches,2016-2017,,,,,,,,,,,,
503,Sergei Chernik,by BLR,GK,Nancy,fr Ligue 1,28,1988,17,15,1377,15.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
504,Denis Cheryshev,ru RUS,MF,Villarreal,es La Liga,25,1990,11,2,340,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
505,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,31,1984,21,20,1636,18.2,2,2,4,2,0,0,4,0,0.11,0.11,0.22,0.11,0.22,Matches,2016-2017,,,,,,,,,,,,
506,Federico Chiesa,it ITA,"MF,FW",Fiorentina,it Serie A,18,1997,27,17,1492,16.6,3,2,5,3,0,0,4,2,0.18,0.12,0.30,0.18,0.30,Matches,2016-2017,,,,,,,,,,,,
507,Ben Chilwell,eng ENG,"DF,MF",Leicester City,eng Premier League,19,1996,12,7,699,7.8,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,2016-2017,,,,,,,,,,,,
508,Vlad Chiricheș,ro ROU,DF,Napoli,it Serie A,26,1989,14,13,1124,12.5,2,0,2,2,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,2016-2017,,,,,,,,,,,,
509,Ivaylo Chochev,bg BUL,MF,Palermo,it Serie A,23,1993,30,25,2286,25.4,3,3,6,3,0,0,4,0,0.12,0.12,0.24,0.12,0.24,Matches,2016-2017,,,,,,,,,,,,
510,Michaël Chrétien,ma MAR,DF,Nancy,fr Ligue 1,32,1984,13,13,1124,12.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
511,Andreas Christensen,dk DEN,DF,M'Gladbach,de Bundesliga,20,1996,31,31,2781,30.9,2,0,2,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,2016-2017,,,,,,,,,,,,
512,Max Christiansen,de GER,MF,Ingolstadt 04,de Bundesliga,19,1996,11,4,443,4.9,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
513,Lee Chung-yong,kr KOR,MF,Crystal Palace,eng Premier League,28,1988,15,4,471,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
514,Michaël Ciani,fr FRA,DF,Espanyol,es La Liga,32,1984,1,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
515,Michaël Ciani,fr FRA,DF,Lorient,fr Ligue 1,32,1984,25,25,2167,24.1,3,0,3,3,0,0,5,0,0.12,0.00,0.12,0.12,0.12,Matches,2016-2017,,,,,,,,,,,,
516,Luca Cigarini,it ITA,MF,Sampdoria,it Serie A,30,1986,4,3,276,3.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
517,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,29,1987,26,25,2136,23.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
518,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
519,Thiago Cionek,pl POL,DF,Palermo,it Serie A,30,1986,29,26,2326,25.8,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
520,Gilles Cioni,fr FRA,DF,Bastia,fr Ligue 1,32,1984,25,23,2064,22.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
521,Issa Cissokho,sn SEN,DF,Angers,fr Ligue 1,31,1985,13,13,1158,12.9,0,2,2,0,0,0,2,1,0.00,0.16,0.16,0.00,0.16,Matches,2016-2017,,,,,,,,,,,,
522,Renato Civelli,ar ARG,DF,Lille,fr Ligue 1,32,1983,13,12,1098,12.2,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,2016-2017,,,,,,,,,,,,
523,Claiton,br BRA,DF,Crotone,it Serie A,31,1984,10,9,704,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
524,Jordy Clasie,nl NED,MF,Southampton,eng Premier League,25,1991,16,12,1021,11.3,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches,2016-2017,,,,,,,,,,,,
525,Adam Clayton,eng ENG,MF,Middlesbrough,eng Premier League,27,1989,34,32,2804,31.2,0,2,2,0,0,0,10,0,0.00,0.06,0.06,0.00,0.06,Matches,2016-2017,,,,,,,,,,,,
526,Cléber,br BRA,DF,Hamburger SV,de Bundesliga,25,1990,5,5,325,3.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
527,Christian Clemens,de GER,MF,Mainz 05,de Bundesliga,24,1991,3,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
528,Christian Clemens,de GER,"MF,FW",Köln,de Bundesliga,24,1991,12,10,805,8.9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,2016-2017,,,,,,,,,,,,
529,Jérémy Clément,fr FRA,MF,Saint-Étienne,fr Ligue 1,31,1984,5,3,335,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
530,Carlos Clerc,es ESP,"DF,MF",Osasuna,es La Liga,24,1992,25,22,1947,21.6,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,2016-2017,,,,,,,,,,,,
531,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,26,1989,17,16,1441,16.0,0,2,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,2016-2017,,,,,,,,,,,,
532,Tom Cleverley,eng ENG,MF,Everton,eng Premier League,26,1989,10,4,406,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
533,Gaël Clichy,fr FRA,DF,Manchester City,eng Premier League,31,1985,25,24,2123,23.6,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,2016-2017,,,,,,,,,,,,
534,Sam Clucas,eng ENG,MF,Hull City,eng Premier League,25,1990,37,36,3185,35.4,3,1,4,3,0,0,9,1,0.08,0.03,0.11,0.08,0.11,Matches,2016-2017,,,,,,,,,,,,
535,Nathaniel Clyne,eng ENG,DF,Liverpool,eng Premier League,25,1991,37,37,3323,36.9,0,2,2,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,2016-2017,,,,,,,,,,,,
536,Marcus Coco,fr FRA,"MF,FW",Guingamp,fr Ligue 1,20,1996,34,31,2612,29.0,4,2,6,4,0,0,6,0,0.14,0.07,0.21,0.14,0.21,Matches,2016-2017,,,,,,,,,,,,
537,Andrea Coda,it ITA,DF,Pescara,it Serie A,31,1985,13,12,999,11.1,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
538,Fábio Coentrão,pt POR,DF,Real Madrid,es La Liga,28,1988,3,2,169,1.9,0,1,1,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53,Matches,2016-2017,,,,,,,,,,,,
539,Isaac Cofie,gh GHA,MF,Genoa,it Serie A,24,1991,15,11,1002,11.1,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,2016-2017,,,,,,,,,,,,
540,Renaud Cohade,fr FRA,MF,Metz,fr Ligue 1,31,1984,33,32,2782,30.9,1,4,5,1,0,0,11,1,0.03,0.13,0.16,0.03,0.16,Matches,2016-2017,,,,,,,,,,,,
541,Almog Cohen,il ISR,MF,Ingolstadt 04,de Bundesliga,27,1988,31,29,2494,27.7,7,1,8,6,1,1,2,0,0.25,0.04,0.29,0.22,0.25,Matches,2016-2017,,,,,,,,,,,,
542,Coke,es ESP,"DF,MF",Schalke 04,de Bundesliga,29,1987,8,7,627,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,2016-2017,,,,,,,,,,,,
543,Antonio Čolak,hr CRO,FW,Darmstadt 98,de Bundesliga,22,1993,22,12,1276,14.2,4,1,5,3,1,2,1,2,0.28,0.07,0.35,0.21,0.28,Matches,2016-2017,,,,,,,,,,,,
544,Emre Çolak,tr TUR,MF,La Coruña,es La Liga,25,1991,33,29,2466,27.4,3,6,9,3,0,1,5,0,0.11,0.22,0.33,0.11,0.33,Matches,2016-2017,,,,,,,,,,,,
545,Séamus Coleman,ie IRL,"DF,MF",Everton,eng Premier League,27,1988,26,26,2316,25.7,4,3,7,4,0,0,3,0,0.16,0.12,0.27,0.16,0.27,Matches,2016-2017,,,,,,,,,,,,
546,James Collins,wls WAL,DF,West Ham,eng Premier League,32,1983,22,19,1655,18.4,2,0,2,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,2016-2017,,,,,,,,,,,,
547,Roberto Colombo,it ITA,GK,Cagliari,it Serie A,40,1975,1,0,81,0.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
548,Fabio Coltorti,ch SUI,GK,RB Leipzig,de Bundesliga,35,1980,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
549,Kingsley Coman,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,20,1996,19,10,917,10.2,2,1,3,2,0,0,1,0,0.20,0.10,0.29,0.20,0.29,Matches,2016-2017,,,,,,,,,,,,
550,Marvin Compper,de GER,DF,RB Leipzig,de Bundesliga,31,1985,25,25,2098,23.3,2,0,2,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,2016-2017,,,,,,,,,,,,
551,David Concha,es ESP,MF,Real Sociedad,es La Liga,19,1996,8,1,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
552,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,31,1985,24,21,1815,20.2,1,0,1,1,0,0,2,1,0.05,0.00,0.05,0.05,0.05,Matches,2016-2017,,,,,,,,,,,,
553,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,29,1987,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
554,Diego Contento,de GER,DF,Bordeaux,fr Ligue 1,26,1990,25,24,2103,23.4,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017,,,,,,,,,,,,
555,Andrea Conti,it ITA,MF,Atalanta,it Serie A,22,1994,33,31,2663,29.6,8,5,13,8,0,0,12,0,0.27,0.17,0.44,0.27,0.44,Matches,2016-2017,,,,,,,,,,,,
556,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,19,1997,6,4,432,4.8,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,2016-2017,,,,,,,,,,,,
557,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,25,1991,38,38,3420,38.0,2,0,2,2,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,2016-2017,,,,,,,,,,,,
558,Duje Čop,hr CRO,FW,Sporting Gijón,es La Liga,26,1990,31,27,2273,25.3,9,3,12,6,3,4,7,0,0.36,0.12,0.48,0.24,0.36,Matches,2016-2017,,,,,,,,,,,,
559,Francis Coquelin,fr FRA,MF,Arsenal,eng Premier League,25,1991,29,22,1779,19.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
560,Sébastien Corchia,fr FRA,"DF,MF",Lille,fr Ligue 1,25,1990,38,38,3416,38.0,1,1,2,1,0,0,4,0,0.03,0.03,0.05,0.03,0.05,Matches,2016-2017,,,,,,,,,,,,
561,Alex Cordaz,it ITA,GK,Crotone,it Serie A,33,1983,36,36,3236,36.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
